,Careless Whisper_George Michael
0,time
1,never
2,mend
3,careless
4,whispers
5,good
6,friend
7,heart
8,mind
9,ignorance
10,kind
11,there's
12,comfort
13,truth
14,pain
15,find
16,known
17,better
18,yeah
19,instrumental
20,feel
21,unsure
22,take
23,hand
24,lead
25,dance
26,floor
27,music
28,dies
29,something
30,eyes
31,calls
32,mind
33,silver
34,screen
35,sad
36,goodbyes
37,i'm
38,never
39,gonna
40,dance
41,guilty
42,feet
43,got
44,rhythm
45,though
46,easy
47,pretend
48,know
49,fool
50,known
51,better
52,cheat
53,friend
54,waste
55,chance
56,i'd
57,given
58,i'm
59,never
60,gonna
61,dance
62,way
63,danced
64,time
65,never
66,mend
67,careless
68,whispers
69,good
70,friend
71,heart
72,mind
73,ignorance
74,kind
75,there's
76,comfort
77,truth
78,pain
79,find
80,i'm
81,never
82,gonna
83,dance
84,guilty
85,feet
86,got
87,rhythm
88,though
89,easy
90,pretend
91,know
92,fool
93,known
94,better
95,cheat
96,friend
97,waste
98,chance
99,i'd
100,given
101,i'm
102,never
103,gonna
104,dance
105,way
106,danced
107,post-chorus
108,never
109,without
110,love
111,bridge
112,tonight
113,music
114,seems
115,loud
116,wish
117,could
118,lose
119,crowd
120,maybe
121,better
122,way
123,we'd
124,hurt
125,things
126,want
127,say
128,could
129,good
130,together
131,could
132,lived
133,dance
134,forever
135,who's
136,gonna
137,dance
138,please
139,stay
140,i'm
141,never
142,gonna
143,dance
144,guilty
145,feet
146,got
147,rhythm
148,though
149,easy
150,pretend
151,know
152,fool
153,known
154,better
155,cheat
156,friend
157,waste
158,chance
159,i'd
160,given
161,i'm
162,never
163,gonna
164,dance
165,way
166,danced
167,outro
168,gone
169,gone
170,gone
171,wrong
172,wrong
173,leave
174,alone
