,Goodbye My Lover_James Blunt
0,i
1,disappoint
2,you
3,let
4,you
5,i
6,feeling
7,guilty
8,let
9,judges
10,frown
11,cause
12,i
13,saw
14,end
15,we'd
16,begun
17,yes
18,i
19,saw
20,you
21,blinded
22,i
23,knew
24,i
25,i
26,took
27,what's
28,mine
29,eternal
30,right
31,took
32,your
33,soul
34,night
35,may
36,stop
37,i
38,you
39,you'd
40,care
41,you
42,touched
43,my
44,heart
45,you
46,touched
47,my
48,soul
49,you
50,changed
51,my
52,life
53,my
54,goals
55,love
56,blind
57,i
58,knew
59,my
60,heart
61,blinded
62,yours
63,i've
64,kissed
65,your
66,lips
67,held
68,your
69,hand
70,shared
71,your
72,dreams
73,shared
74,your
75,bed
76,i
77,know
78,you
79,well
80,i
81,know
82,your
83,smell
84,i've
85,addicted
86,you
87,goodbye
88,my
89,lover
90,goodbye
91,my
92,friend
93,you
94,one
95,you
96,one
97,me
98,goodbye
99,my
100,lover
101,goodbye
102,my
103,friend
104,you
105,one
106,you
107,one
108,me
109,i
110,dreamer
111,i
112,wake
113,you
114,can't
115,break
116,my
117,spirit
118,my
119,dreams
120,you
121,take
122,you
123,move
124,remember
125,me
126,remember
127,us
128,used
129,i've
130,seen
131,you
132,cry
133,i've
134,seen
135,you
136,smile
137,i've
138,watched
139,you
140,sleeping
141,i'd
142,father
143,your
144,child
145,i'd
146,spend
147,lifetime
148,you
149,i
150,know
151,your
152,fears
153,you
154,know
155,mine
156,we've
157,doubts
158,we're
159,fine
160,i
161,love
162,you
163,i
164,swear
165,that's
166,true
167,i
168,cannot
169,live
170,without
171,you
172,goodbye
173,my
174,lover
175,goodbye
176,my
177,friend
178,you
179,one
180,you
181,one
182,me
183,goodbye
184,my
185,lover
186,goodbye
187,my
188,friend
189,you
190,one
191,you
192,one
193,me
194,i
195,still
196,hold
197,your
198,hand
199,mine
200,mine
201,i'm
202,asleep
203,i
204,bare
205,my
206,soul
207,time
208,i'm
209,kneeling
210,your
211,feet
212,goodbye
213,my
214,lover
215,goodbye
216,my
217,friend
218,you
219,one
220,you
221,one
222,me
223,goodbye
224,my
225,lover
226,goodbye
227,my
228,friend
229,you
230,one
231,you
232,one
233,me
234,i'm
235,hollow
236,baby
237,i'm
238,hollow
239,i'm
240,i'm
241,i'm
242,hollow
243,i'm
244,hollow
245,baby
246,i'm
247,hollow
248,i'm
249,i'm
250,i'm
251,hollow
