,Joy_Ellie Goulding
0,stood
1,rain
2,watched
3,you
4,go
5,i
6,feel
7,lump
8,my
9,throat
10,far
11,joy
12,i
13,never
14,seemed
15,learn
16,high
17,makes
18,things
19,harder
20,high
21,i
22,get
23,you
24,i've
25,figured
26,joy
27,your
28,arms
29,i
30,know
31,i'll
32,always
33,ache
34,empty
35,heart
36,i
37,think
38,time
39,run
40,i'm
41,seeing
42,stars
43,i'm
44,seeing
45,stars
46,watch
47,me
48,fall
49,apart
50,i
51,think
52,dying
53,time
54,i've
55,got
56,joy
57,take
58,my
59,side
60,fear
61,my
62,favorite
63,ride
64,ooh
65,hey
66,hoh
67,i've
68,figured
69,joy
70,your
71,arms
72,i
73,know
74,i'll
75,always
76,ache
77,empty
78,heart
79,i
80,think
81,time
82,run
83,i'm
84,seeing
85,stars
86,i'm
87,seeing
88,stars
89,watch
90,me
91,fall
92,apart
93,interlude
94,you
95,see
96,ooh
97,i've
98,figured
99,joy
100,your
101,arms
102,i
103,know
104,i'll
105,always
106,ache
107,empty
108,heart
109,i
110,think
111,time
112,run
113,i'm
114,seeing
115,stars
116,i'm
117,seeing
118,stars
119,watch
120,me
121,fall
122,apart
