,The Call_Regina Spektor
0,started
1,feeling
2,grew
3,hope
4,turned
5,quiet
6,thought
7,turned
8,quiet
9,word
10,word
11,grew
12,louder
13,louder
14,'til
15,battle
16,cry
17,i'll
18,come
19,back
20,you
21,call
22,me
23,need
24,say
25,goodbye
26,everything's
27,changing
28,mean
29,never
30,way
31,you
32,try
33,know
34,your
35,friends
36,you
37,head
38,war
39,pick
40,star
41,dark
42,horizon
43,follow
44,light
45,you'll
46,come
47,back
48,need
49,say
50,goodbye
51,you'll
52,come
53,back
54,need
55,say
56,goodbye
57,we're
58,back
59,beginning
60,feeling
61,one
62,knows
63,yet
64,can't
65,feel
66,mean
67,you
68,forget
69,let
70,your
71,memories
72,grow
73,stronger
74,stronger
75,'til
76,they're
77,your
78,eyes
79,you'll
80,come
81,back
82,call
83,you
84,need
85,say
86,goodbye
87,you'll
88,come
89,back
90,call
91,you
92,need
93,say
94,goodbye
