,Change The World_Eric Clapton
0,i
1,could
2,reach
3,stars
4,pull
5,one
6,you
7,shine
8,my
9,heart
10,you
11,could
12,see
13,truth
14,love
15,i
16,inside
17,everything
18,seems
19,i
20,find
21,my
22,dreams
23,i
24,change
25,world
26,i
27,sunlight
28,your
29,universe
30,you
31,would
32,think
33,my
34,love
35,really
36,something
37,good
38,baby
39,i
40,could
41,change
42,world
43,i
44,could
45,king
46,even
47,day
48,i'd
49,take
50,you
51,my
52,queen
53,i'd
54,way
55,love
56,would
57,rule
58,kingdom
59,made
60,'til
61,i'd
62,fool
63,wishing
64,day
65,i
66,change
67,world
68,i
69,would
70,sunlight
71,your
72,universe
73,you
74,would
75,think
76,my
77,love
78,really
79,something
80,good
81,baby
82,i
83,could
84,change
85,world
86,baby
87,i
88,could
89,change
90,world
91,i
92,could
93,change
94,world
95,i
96,would
97,sunlight
98,your
99,universe
100,you
101,would
102,think
103,my
104,love
105,really
106,something
107,good
108,baby
109,i
110,could
111,change
112,world
113,baby
114,i
115,could
116,change
117,world
118,baby
119,i
120,could
121,change
122,world
