,Just Like Heaven_The Cure
0,"""show"
1,show
2,show
3,trick
4,one
5,makes
6,"scream"""
7,said
8,"""the"
9,one
10,makes
11,"laugh"""
12,said
13,threw
14,arms
15,around
16,neck
17,"""show"
18,promise
19,promise
20,i'll
21,run
22,away
23,i'll
24,run
25,away
26,"you"""
27,spinning
28,dizzy
29,edge
30,kissed
31,face
32,kissed
33,head
34,dreamed
35,different
36,ways
37,make
38,glow
39,"""why"
40,far
41,"away"""
42,said
43,"""why"
44,ever
45,know
46,i'm
47,love
48,i'm
49,love
50,"you"""
51,refrain
52,soft
53,lost
54,lonely
55,strange
56,angels
57,dancing
58,deepest
59,oceans
60,twisting
61,water
62,like
63,dream
64,like
65,dream
66,daylight
67,licked
68,shape
69,must
70,asleep
71,days
72,moving
73,lips
74,breathe
75,name
76,opened
77,eyes
78,found
79,alone
80,alone
81,alone
82,raging
83,sea
84,stole
85,girl
86,loved
87,drowned
88,deep
89,inside
90,refrain
91,soft
92,lost
93,lonely
94,like
95,heaven
