,One Sweet Love_Sara Bareilles
0,time
1,shadows
2,call
3,undress
4,mind
5,dare
6,follow
7,paint
8,portrait
9,mystery
10,close
11,eyes
12,pre-chorus
13,nameless
14,face
15,think
16,see
17,sit
18,watch
19,waves
20,they're
21,gone
22,heart
23,i'd
24,swear
25,i'd
26,recognize
27,made
28,devices
29,could
30,wrong
31,time
32,i've
33,taken
34,pray
35,wasted
36,already
37,tasted
38,piece
39,one
40,sweet
41,love
42,sleepless
43,nights
44,creep
45,inside
46,paint
47,shadows
48,breath
49,share
50,take
51,sanity
52,take
53,reason
54,care
55,pre-chorus
56,ordinary
57,wings
58,i'll
59,need
60,sky
61,carry
62,back
63,things
64,dream
65,i'd
66,open
67,moon
68,come
69,soon
70,time
71,i've
72,taken
73,pray
74,wasted
75,already
76,tasted
77,piece
78,one
79,sweet
80,love
81,ready
82,waiting
83,heart
84,worth
85,breaking
86,i'd
87,settle
88,honest
89,mistake
90,name
91,one
92,sweet
93,love
94,bridge
95,savor
96,sorrow
97,soften
98,pain
99,sip
100,southern
101,rain
102,look
103,touch
104,anything
105,hope
106,pre-chorus
107,earth
108,space
109,i'd
110,banish
111,get
112,unexpected
113,love
114,provides
115,solitary's
116,suicide
117,oh
118,wish
119,knew
120,pre-chorus
121,time
122,i've
123,taken
124,pray
125,wasted
126,already
127,tasted
128,piece
129,one
130,sweet
131,love
132,ready
133,waiting
134,heart
135,worth
136,breaking
137,i'd
138,settle
139,honest
140,mistake
141,name
142,one
143,sweet
144,love
