,In the Aeroplane Over the Sea_Neutral Milk Hotel
0,beautiful
1,face
2,found
3,place
4,circling
5,round
6,sun
7,beautiful
8,dream
9,could
10,flash
11,screen
12,blink
13,eye
14,gone
15,soft
16,sweet
17,let
18,hold
19,close
20,keep
21,one
22,day
23,die
24,ashes
25,fly
26,aeroplane
27,sea
28,young
29,let
30,us
31,lay
32,sun
33,count
34,every
35,beautiful
36,thing
37,see
38,love
39,arms
40,i'm
41,keeping
42,curious
43,life
44,found
45,tonight
46,music
47,sounds
48,street
49,lights
50,clouds
51,anna's
52,ghost
53,around
54,hear
55,voice
56,rolling
57,ringing
58,soft
59,sweet
60,notes
61,bend
62,reach
63,trees
64,bridge
65,remember
66,would
67,push
68,fingers
69,mouth
70,make
71,muscles
72,move
73,made
74,voice
75,smooth
76,sweet
77,keep
78,know
79,secrets
80,sleep
81,winter
82,clothes
83,one
84,loved
85,long
86,ago
87,even
88,know
89,name
90,beautiful
91,face
92,found
93,place
94,circling
95,'round
96,sun
97,meet
98,cloud
99,i'll
100,laughing
101,loud
102,i'll
103,laughing
104,everyone
105,see
106,can't
107,believe
108,strange
109,anything
