,Where Is the Love_Black Eyed Peas
0,william
1,what's
2,wrong
3,world
4,mama
5,people
6,livin'
7,like
8,ain't
9,got
10,mamas
11,think
12,whole
13,world's
14,addicted
15,drama
16,attracted
17,things
18,bring
19,trauma
20,overseas
21,yeah
22,tryin'
23,stop
24,terrorism
25,still
26,got
27,terrorists
28,livin'
29,usa
30,big
31,cia
32,bloods
33,crips
34,kkk
35,love
36,race
37,leave
38,space
39,discriminate
40,discriminate
41,generates
42,hate
43,hate
44,bound
45,get
46,irate
47,madness
48,demonstrate
49,that's
50,exactly
51,anger
52,works
53,operates
54,man
55,gotta
56,love
57,this'll
58,set
59,us
60,straight
61,take
62,control
63,mind
64,meditate
65,let
66,soul
67,gravitate
68,love
69,y'all
70,y'all
71,justin
72,timberlake
73,people
74,killin'
75,people
76,dyin'
77,children
78,hurt
79,hear
80,cryin'
81,practice
82,preach
83,would
84,turn
85,cheek
86,father
87,father
88,father
89,help
90,us
91,send
92,guidance
93,people
94,got
95,got
96,questionin'
97,post-chorus
98,william
99,love
100,love
101,love
102,love
103,love
104,love
105,love
106,love
107,love
108,taboo
109,ain't
110,old
111,ways
112,changed
113,new
114,days
115,strange
116,world
117,insane
118,love
119,peace
120,strong
121,pieces
122,love
123,belong
124,nations
125,droppin'
126,bombs
127,chemical
128,gases
129,fillin'
130,lungs
131,little
132,ones
133,ongoing
134,sufferin'
135,youth
136,die
137,young
138,ask
139,lovin'
140,really
141,gone
142,ask
143,really
144,going
145,wrong
146,world
147,livin'
148,people
149,keep
150,givin'
151,makin'
152,wrong
153,decisions
154,visions
155,dividends
156,respectin'
157,deny
158,thy
159,brother
160,war
161,goin'
162,reason's
163,undercover
164,truth
165,kept
166,secret
167,swept
168,rug
169,never
170,know
171,truth
172,never
173,know
174,love
175,where's
176,love
177,y'all
178,come
179,know
180,where's
181,truth
182,y'all
183,come
184,know
185,where's
186,love
187,y'all
188,justin
189,timberlake
190,people
191,killin'
192,people
193,dyin'
194,children
195,hurt
196,hear
197,cryin'
198,practice
199,preach
200,would
201,turn
202,cheek
203,father
204,father
205,father
206,help
207,us
208,send
209,guidance
210,people
211,got
212,got
213,questionin'
214,post-chorus
215,william
216,love
217,love
218,love
219,love
220,love
221,love
222,love
223,love
224,love
225,apldeap
226,feel
227,weight
228,world
229,shoulder
230,i'm
231,getting
232,older
233,y'all
234,people
235,gets
236,colder
237,us
238,care
239,money-makin'
240,selfishness
241,got
242,us
243,followin'
244,wrong
245,direction
246,wrong
247,information
248,always
249,shown
250,media
251,negative
252,images
253,main
254,criteria
255,infecting
256,young
257,minds
258,faster
259,bacteria
260,kids
261,wanna
262,act
263,like
264,see
265,cinema
266,yo
267,whatever
268,happened
269,values
270,humanity
271,whatever
272,happened
273,fairness
274,equality
275,instead
276,spreadin'
277,love
278,spreadin'
279,animosity
280,lack
281,understandin'
282,leading
283,us
284,away
285,unity
286,that's
287,reason
288,sometimes
289,i'm
290,feelin'
291,that's
292,reason
293,sometimes
294,i'm
295,feelin'
296,wonder
297,sometimes
298,i'm
299,feelin'
300,gotta
301,keep
302,faith
303,alive
304,'til
305,love
306,found
307,ask
308,yourself…
309,post-chorus
310,william
311,love
312,love
313,love
314,love
315,justin
316,timberlake
317,father
318,father
319,father
320,help
321,us
322,send
323,guidance
324,people
325,got
326,got
327,questionin'
328,love
329,outro
330,william
331,sing
332,y'all
333,one
334,world
335,one
336,world
337,got
338,one
339,world
340,one
341,world
342,that's
343,got
344,one
345,world
346,one
347,world
348,something's
349,wrong
350,something's
351,wrong
352,something's
353,wrong
354,w-w-world
355,got
356,one
357,world
358,one
359,world
360,that's
361,got
362,one
363,world
364,one
365,world
