,This Woman's Work_Kate Bush
0,pray
1,god
2,you
3,cope
4,i
5,stand
6,outside
7,woman's
8,work
9,woman's
10,world
11,ooh
12,hard
13,man
14,his
15,part
16,starts
17,craft
18,father
19,prechorus
20,i
21,know
22,you
23,little
24,life
25,you
26,yet
27,i
28,know
29,you
30,lot
31,strength
32,left
33,i
34,know
35,you
36,little
37,life
38,you
39,yet
40,i
41,know
42,you
43,lot
44,strength
45,left
46,i
47,crying
48,i
49,can't
50,let
51,show
52,i
53,hoping
54,i
55,can't
56,stop
57,thinking
58,things
59,i
60,said
61,i
62,never
63,said
64,things
65,done
66,never
67,things
68,i
69,given
70,i
71,oh
72,darling
73,make
74,go
75,make
76,go
77,away
78,give
79,me
80,moments
81,back
82,give
83,back
84,me
85,give
86,me
87,little
88,kiss
89,give
90,me
91,your
92,hand
93,prechorus
94,i
95,know
96,you
97,little
98,life
99,you
100,yet
101,i
102,know
103,you
104,lot
105,strength
106,left
107,i
108,know
109,you
110,little
111,life
112,you
113,yet
114,i
115,know
116,you
117,lot
118,strength
119,left
120,i
121,crying
122,i
123,can't
124,let
125,show
126,i
127,hoping
128,i
129,can't
130,stop
131,thinking
132,things
133,said
134,never
135,said
136,things
137,done
138,never
139,things
140,you
141,needed
142,me
143,things
144,you
145,wanted
146,me
147,things
148,i
149,given
150,i
151,oh
152,darling
153,make
154,go
155,away
156,make
157,go
158,away
