,Drunk in Love_Beyoncé
0,beyoncé
1,i've
2,drinkin'
3,i've
4,drinkin'
5,i
6,get
7,filthy
8,liquor
9,get
10,me
11,i've
12,thinkin'
13,i've
14,thinkin'
15,can't
16,i
17,keep
18,my
19,fingers
20,baby
21,i
22,want
23,you
24,nownow
25,can't
26,i
27,keep
28,my
29,fingers
30,you
31,baby
32,i
33,want
34,you
35,nownow
36,cigars
37,ice
38,cigars
39,ice
40,feelin'
41,like
42,animal
43,cameras
44,my
45,grill
46,flashin'
47,lights
48,flashin'
49,lights
50,you
51,got
52,me
53,faded
54,faded
55,faded
56,baby
57,i
58,want
59,you
60,nownow
61,can't
62,keep
63,your
64,eyes
65,my
66,fatty
67,daddy
68,i
69,want
70,you
71,nownow
72,drunk
73,love
74,i
75,want
76,you
77,prechorus
78,beyoncé
79,woke
80,kitchen
81,saying
82,hell
83,shit
84,happen
85,oh
86,baby
87,drunk
88,love
89,night
90,last
91,thing
92,i
93,remember
94,beautiful
95,bodies
96,grindin'
97,club
98,drunk
99,love
100,beyoncé
101,night
102,love
103,love
104,night
105,love
106,love
107,beyoncé
108,night
109,everything
110,right
111,complaints
112,my
113,body
114,fluorescent
115,lights
116,boy
117,i'm
118,drinkin'
119,park
120,my
121,lot
122,711
123,i'm
124,rubbin'
125,rubrubbin'
126,you
127,scared
128,call
129,reverend
130,boy
131,i'm
132,drinkin'
133,get
134,my
135,brain
136,right
137,armand
138,de
139,brignac
140,gangster
141,wife
142,louis
143,sheets
144,he
145,sweat
146,like
147,washrags
148,he
149,wet
150,boy
151,i'm
152,drinkin'
153,i'm
154,singin'
155,mic
156,my
157,boy
158,toys
159,i
160,fill
161,tub
162,halfway
163,ride
164,my
165,surfboard
166,surfboard
167,surfboard
168,grainin'
169,wood
170,grainin'grainin'
171,wood
172,i'm
173,swervin'
174,swervin'swervin'
175,big
176,body
177,servin'
178,swerve
179,surfin'
180,goodgood
181,prechorus
182,beyoncé
183,woke
184,kitchen
185,saying
186,hell
187,shit
188,happen
189,oh
190,baby
191,drunk
192,love
193,night
194,last
195,thing
196,i
197,remember
198,beautiful
199,bodies
200,grindin'
201,club
202,drunk
203,love
204,beyoncé
205,jayz
206,night
207,love
208,love
209,night
210,love
211,love
212,i'm
213,nice
214,right
215,now…
216,hold
217,jayz
218,d'ussé
219,shit
220,i
221,say
222,myself
223,i
224,say
225,myself
226,i
227,say
228,myself
229,hold
230,stumble
231,house
232,time
233,back
234,mouth
235,you
236,car
237,talkin'
238,you
239,baddest
240,bitch
241,thus
242,far
243,talkin'
244,you
245,reppin'
246,third
247,i
248,wanna
249,see
250,shit
251,i
252,heard
253,know
254,i
255,sling
256,clint
257,eastwood
258,hope
259,you
260,handle
261,curve
262,uh
263,foreplay
264,foyer
265,fucked
266,my
267,warhol
268,slid
269,panties
270,right
271,side
272,ain't
273,got
274,time
275,take
276,drawers
277,sight
278,catch
279,charge
280,i
281,might
282,beat
283,box
284,like
285,mike
286,'97
287,i
288,bite
289,i'm
290,ike
291,turner
292,turn
293,baby
294,i
295,play
296,eat
297,cake
298,anna
299,mae
300,said
301,eat
302,cake
303,anna
304,mae
305,i'm
306,nice
307,y'all
308,reach
309,heights
310,you
311,gon'
312,need
313,g3
314,flights
315,sleep
316,tight
317,sex
318,morning
319,your
320,breasteses
321,my
322,breakfast
323,goin'
324,night
325,beyoncé
326,night
327,love
328,love
329,night
330,love
331,love
332,beyoncé
333,i'm
334,never
335,tired
336,never
337,tired
338,i
339,sippin'
340,that's
341,thing
342,that's
343,keepin'
344,me
345,fire
346,fire
347,mean
348,spill
349,liquor
350,my
351,attire
352,i've
353,drinkin'
354,watermelon
355,i
356,want
357,your
358,body
359,right
360,daddy
361,i
362,want
363,you
364,right
365,can't
366,keep
367,your
368,eyes
369,my
370,fatty
371,daddy
372,i
373,want
374,you
375,beyoncé
376,night
377,love
378,love
379,night
380,love
381,love
382,produced
383,noah
384,“detail”
385,fisher
386,beyoncé
387,knowles
388,timbaland
389,jerome
390,harmon
391,boots
392,andre
393,proctor
