,Gorgeous_Taylor Swift
0,gorgeous
1,you
2,take
3,compliment
4,i
5,got
6,drunk
7,made
8,fun
9,way
10,you
11,talk
12,you
13,think
14,consequence
15,your
16,magnetic
17,field
18,little
19,strong
20,i
21,got
22,boyfriend
23,he's
24,older
25,us
26,he's
27,club
28,doin'
29,i
30,know
31,you're
32,cool
33,makes
34,me
35,hate
36,you
37,much
38,i
39,hate
40,you
41,much
42,prechorus
43,whisky
44,ice
45,sunset
46,vine
47,you've
48,ruined
49,my
50,life
51,mine
52,you're
53,gorgeous
54,i
55,can't
56,say
57,anything
58,your
59,face
60,'cause
61,look
62,your
63,face
64,i'm
65,furious
66,you
67,making
68,me
69,feel
70,way
71,i
72,say
73,you're
74,gorgeous
75,you
76,take
77,compliment
78,i'm
79,talking
80,everyone
81,you
82,you
83,you
84,you
85,think
86,consequence
87,you
88,touching
89,my
90,hand
91,darkened
92,room
93,dark
94,room
95,dark
96,room
97,you've
98,got
99,girlfriend
100,i'm
101,jealous
102,her
103,you're
104,single
105,that's
106,honestly
107,worse
108,'cause
109,you're
110,gorgeous
111,actually
112,hurts
113,honey
114,hurts
115,prechorus
116,ocean
117,blue
118,eyes
119,looking
120,mine
121,i
122,feel
123,like
124,i
125,might
126,sink
127,drown
128,die
129,you're
130,gorgeous
131,i
132,can't
133,say
134,anything
135,your
136,face
137,your
138,face
139,'cause
140,look
141,your
142,face
143,look
144,your
145,face
146,gorgeous
147,i'm
148,furious
149,you
150,making
151,me
152,feel
153,way
154,feel
155,way
156,i
157,say
158,you're
159,gorgeous
160,you
161,make
162,me
163,happy
164,turns
165,back
166,sad
167,there's
168,nothing
169,i
170,hate
171,i
172,can't
173,you
174,gorgeous
175,makes
176,me
177,mad
178,mmh
179,you
180,make
181,me
182,happy
183,turns
184,back
185,sad
186,yeah
187,there's
188,nothing
189,i
190,hate
191,i
192,can't
193,guess
194,i'll
195,stumble
196,home
197,my
198,cats
199,yeugh
200,alone
201,unless
202,you
203,wanna
204,come
205,along
206,oh
207,you're
208,gorgeous
209,i
210,can't
211,say
212,anything
213,your
214,face
215,your
216,face
217,'cause
218,look
219,your
220,face
221,look
222,your
223,face
224,i'm
225,furious
226,i'm
227,furious
228,you
229,making
230,me
231,feel
232,way
233,feel
234,way
235,i
236,say
237,i
238,say
239,you're
240,gorgeous
241,you
242,make
243,me
244,happy
245,turns
246,back
247,sad
248,yeah
249,there's
250,nothing
251,i
252,hate
253,i
254,can't
255,you
256,gorgeous
257,makes
258,me
259,mad
260,mmh
261,you're
262,gorgeous
263,you
264,make
265,me
266,happy
267,turns
268,back
269,sad
270,turns
271,back
272,sad
273,there's
274,nothing
275,i
276,hate
277,i
278,can't
279,i
280,you
281,gorgeous
282,makes
283,me
284,mad
285,mmh
286,you're
287,gorgeous
