,Trying to Be Cool_Phoenix
0,city
1,desert
2,coexist
3,depending
4,things
5,wearing
6,wildlife
7,binoculars
8,tell
9,want
10,tell
11,want
12,teach
13,suffer
14,resist
15,much
16,intention
17,presbyterian
18,mint
19,julep
20,testosterone
21,tell
22,want
23,tell
24,want
25,cool
26,i'm
27,trying
28,cool
29,fanatic
30,attitude
31,we're
32,post-chorus
33,open
34,business
35,says
36,can't
37,go
38,wrong
39,innocent
40,immature
41,you’re
42,tell
43,want
44,tell
45,want
46,two
47,dozen
48,pink
49,white
50,ranunculus
51,problems
52,solve
53,part-time
54,holy
55,bachelors
56,tell
57,want
58,tell
59,want
60,cool
61,i'm
62,trying
63,cool
64,fanatic
65,attitude
66,we're
67,post-chorus
68,open
69,business
70,says
71,can't
72,go
73,wrong
74,compliments
75,sound
76,cynical
77,tell
78,want
79,tell
80,want
81,bridge
82,gruesome
83,care
84,nothing's
85,personal
86,physical
87,evidence
88,cannibal
89,boyfriends
90,outro
91,tell
92,want
93,tell
94,want
95,tell
96,want
97,tell
98,want
