,Love Is Blindness_U2
0,love
1,blindness
2,want
3,see
4,wrap
5,night
6,around
7,oh
8,heart
9,love
10,blindness
11,i'm
12,parked
13,car
14,crowded
15,street
16,see
17,love
18,made
19,complete
20,thread
21,ripping
22,knot
23,slipping
24,love
25,blindness
26,love
27,clockworks
28,cold
29,steel
30,fingers
31,numb
32,feel
33,squeeze
34,handle
35,blow
36,candle
37,love
38,blindness
39,love
40,blindness
41,want
42,see
43,wrap
44,night
45,around
46,oh
47,love
48,blindness
49,bridge
50,little
51,death
52,without
53,mourning
54,call
55,warning
56,baby
57,dangerous
58,idea
59,almost
60,makes
61,sense
62,love
63,drowning
64,deep
65,well
66,secrets
67,one
68,tell
69,take
70,money
71,honey
72,blindness
73,love
74,blindness
75,want
76,see
77,wrap
78,night
79,around
80,oh
81,love
82,blindness
