,Small Bump_Ed Sheeran
0,small
1,bump
2,unborn
3,four
4,months
5,brought
6,life
7,might
8,left
9,hair
10,mother's
11,eyes
12,i'll
13,hold
14,body
15,hands
16,gentle
17,scan
18,unmade
19,plans
20,small
21,bump
22,four
23,months
24,brought
25,life
26,prechorus
27,i'll
28,whisper
29,quietly
30,i'll
31,give
32,nothing
33,truth
34,inside
35,i'll
36,put
37,future
38,one
39,wrap
40,fingers
41,'round
42,thumb
43,hold
44,tight
45,oh
46,one
47,wrap
48,fingers
49,'round
50,thumb
51,hold
52,tight
53,right
54,small
55,bump
56,unknown
57,grow
58,skin
59,smile
60,like
61,dimple
62,beneath
63,chin
64,finger
65,nails
66,size
67,half
68,grain
69,rice
70,eyelids
71,closed
72,soon
73,opened
74,wide
75,small
76,bump
77,four
78,months
79,open
80,eyes
81,prechorus
82,i'll
83,hold
84,tightly
85,i'll
86,tell
87,nothing
88,truth
89,inside
90,i'll
91,put
92,future
93,one
94,wrap
95,fingers
96,round
97,thumb
98,hold
99,tight
100,oh
101,one
102,wrap
103,fingers
104,round
105,thumb
106,hold
107,tight
108,right
109,lie
110,tiny
111,feet
112,half
113,asleep
114,i'll
115,leave
116,right
117,front
118,couple
119,weeks
120,keep
121,safe
122,'cause
123,one
124,wrap
125,fingers
126,round
127,thumb
128,hold
129,tight
130,one
131,wrap
132,fingers
133,round
134,thumb
135,hold
136,tight
137,right
138,small
139,bump
140,unborn
141,four
142,months
143,torn
144,life
145,maybe
146,needed
147,we're
148,still
149,unaware
