,I'm Sticking With You_The Velvet Underground
0,i'm
1,sticking
2,'cause
3,i'm
4,made
5,glue
6,anything
7,might
8,i'm
9,gonna
10,held
11,stagecoach
12,rain
13,i'm
14,saw
15,hanging
16,tree
17,made
18,believe
19,i'm
20,sticking
21,'cause
22,i'm
23,made
24,glue
25,anything
26,might
27,i'm
28,gonna
29,bridge
30,people
31,go
32,stratosphere
33,soldiers
34,fighting
35,cong
36,side
37,anything
38,swing
39,hang
40,past
41,right
42,wrong
43,outro
44,i'll
45,anything
46,anything
47,want
48,i'll
49,anything
50,oh
51,oh
52,i'm
53,sticking
54,oh
55,oh
56,i'm
57,sticking
58,oh
59,oh
60,i'm
61,sticking
62,oh
63,oh
64,i'm
65,sticking
66,oh
67,oh
68,i'm
69,sticking
70,oh
71,oh
72,i'm
73,sticking
74,oh
75,oh
76,i'm
77,sticking
