,Neon_John Mayer
0,sky
1,blue
2,gets
3,dark
4,enough
5,see
6,colors
7,city
8,lights
9,trail
10,ruby
11,red
12,diamond
13,white
14,hits
15,her
16,like
17,sunrise
18,prechorus
19,she
20,comes
21,goes
22,comes
23,goes
24,like
25,one
26,tonight
27,lose
28,herself
29,find
30,high
31,peachtree
32,street
33,mixed
34,drinks
35,techno
36,beats
37,always
38,heavy
39,everything
40,prechorus
41,she
42,comes
43,goes
44,comes
45,goes
46,like
47,one
48,she
49,comes
50,goes
51,one
52,knows
53,slipping
54,my
55,hands
56,always
57,buzzing
58,like
59,neon
60,neon
61,neon
62,neon
63,knows
64,long
65,long
66,long
67,she
68,go
69,she
70,burns
71,away
72,i
73,can't
74,her
75,angel
76,you
77,know
78,my
79,place
80,hold
81,her
82,hard
83,me
84,take
85,stand
86,i
87,would
88,take
89,her
90,anyway
91,i
92,prechorus
93,she
94,comes
95,she
96,goes
97,like
98,one
99,she
100,comes
101,she
102,goes
103,slipping
104,my
105,hands
106,always
107,buzzing
108,like
109,neon
110,neon
111,neon
112,neon
113,knows
114,long
115,long
116,long
117,she
118,go
119,she
120,burns
121,away
122,prechorus
123,she
124,comes
125,she
126,goes
127,like
128,one
129,she
130,comes
131,she
132,goes
133,slipping
134,my
135,hands
136,always
137,buzzing
138,like
139,neon
140,neon
141,neon
142,neon
143,knows
144,long
145,long
146,long
147,she
148,go
149,she
150,burns
151,away
