,Everybody Here Wants You_Jeff Buckley
0,twentynine
1,pearls
2,kiss
3,singing
4,smile
5,coffee
6,smell
7,lilac
8,skin
9,flame
10,twentynine
11,pearls
12,kiss
13,singing
14,smile
15,coffee
16,smell
17,lilac
18,skin
19,flame
20,i'm
21,moment
22,know
23,everybody
24,wants
25,know
26,everybody
27,thinks
28,need
29,i'll
30,waiting
31,right
32,show
33,love
34,blow
35,away
36,thing
37,wonder
38,crowd
39,i'm
40,stranger
41,town
42,free
43,eyes
44,locked
45,downcast
46,love
47,sit
48,proud
49,even
50,undressed
51,dreams
52,i'm
53,moment
54,know
55,everybody
56,wants
57,know
58,everybody
59,thinks
60,needs
61,i'll
62,waiting
63,right
64,show
65,love
66,blow
67,away
68,tears
69,cried
70,dried
71,yesterday
72,sea
73,fools
74,parted
75,us
76,there's
77,nothing
78,way
79,love
80,see
81,see
82,torch
83,put
84,flame
85,guilt
86,shame
87,i'll
88,rise
89,like
90,ember
91,name
92,know
93,everybody
94,wants
95,know
96,everybody
97,thinks
98,need
99,i'll
100,waiting
101,right
102,show
103,oh
104,let
105,show
106,love
107,rise
108,like
109,embers
110,love
111,taste
112,like
113,wine
114,age
115,oh
116,babe
117,know
118,look
119,good
120,distance
121,tell
122,i'm
123,one
124,know
125,everybody
126,well
127,thinks
128,needs
129,thinks
130,need
131,i'll
132,waiting
133,right
134,show
