,"Lover, You Should've Come Over_Jeff Buckley"
0,looking
1,door
2,i
3,see
4,rain
5,fall
6,upon
7,funeral
8,mourners
9,parading
10,wake
11,sad
12,relations
13,shoes
14,fill
15,water
16,maybe
17,i'm
18,young
19,keep
20,good
21,love
22,going
23,wrong
24,tonight
25,you're
26,my
27,mind
28,you
29,never
30,know
31,broken
32,hungry
33,your
34,love
35,way
36,feed
37,you
38,tonight
39,child
40,you
41,know
42,much
43,i
44,need
45,young
46,hold
47,old
48,break
49,free
50,run
51,sometimes
52,man
53,gets
54,carried
55,away
56,he
57,feels
58,like
59,he
60,his
61,fun
62,much
63,blind
64,see
65,damage
66,he's
67,done
68,sometimes
69,man
70,must
71,awake
72,find
73,really
74,he
75,noone
76,i'll
77,wait
78,you
79,i'll
80,burn
81,i
82,ever
83,see
84,your
85,sweet
86,return
87,oh
88,i
89,ever
90,learn
91,oh
92,lover
93,you
94,come
95,cause
96,late
97,lonely
98,room
99,bed
100,made
101,open
102,window
103,lets
104,rain
105,burning
106,corner
107,one
108,dreams
109,he
110,you
111,him
112,my
113,body
114,turns
115,yearns
116,sleep
117,never
118,come
119,never
120,my
121,kingdom
122,kiss
123,upon
124,her
125,shoulder
126,never
127,my
128,riches
129,her
130,smiles
131,i
132,slept
133,soft
134,against
135,her
136,never
137,my
138,blood
139,sweetness
140,her
141,laughter
142,never
143,tear
144,hangs
145,inside
146,my
147,soul
148,forever
149,well
150,maybe
151,i'm
152,young
153,keep
154,good
155,love
156,going
157,wrong
158,oh
159,ohh
160,ohhhhh
161,ohhhhhh
162,ohh
163,lover
164,you
165,come
166,yes
167,yes
168,i
169,feel
170,young
171,hold
172,i'm
173,much
174,old
175,break
176,free
177,run
178,deaf
179,dumb
180,blind
181,see
182,damage
183,i've
184,done
185,sweet
186,lover
187,you
188,come
189,oh
190,love
191,well
192,i'm
193,waiting
194,you
195,lover
196,lover
197,lover
198,lover
199,lover
200,lover
201,lover
202,lover
203,lover
204,lover
205,lover
206,lover
207,you
208,come
209,cause
210,late
