,The Reason_Hoobastank
0,i'm
1,perfect
2,person
3,there's
4,many
5,things
6,i
7,wish
8,i
9,i
10,continue
11,learning
12,i
13,never
14,meant
15,things
16,you
17,i
18,say
19,i
20,go
21,i
22,want
23,you
24,know
25,i've
26,found
27,reason
28,me
29,change
30,i
31,used
32,reason
33,start
34,new
35,reason
36,you
37,i'm
38,sorry
39,i
40,hurt
41,you
42,something
43,i
44,must
45,live
46,every
47,day
48,pain
49,i
50,put
51,you
52,i
53,wish
54,i
55,could
56,take
57,away
58,one
59,catches
60,your
61,tears
62,that's
63,i
64,need
65,you
66,hear
67,i've
68,found
69,reason
70,me
71,change
72,i
73,used
74,reason
75,start
76,new
77,reason
78,you
79,reason
80,you
81,reason
82,you
83,reason
84,you
85,breakdown
86,i'm
87,perfect
88,person
89,i
90,never
91,meant
92,things
93,you
94,i
95,say
96,i
97,go
98,i
99,want
100,you
101,know
102,i've
103,found
104,reason
105,me
106,change
107,i
108,used
109,reason
110,start
111,new
112,reason
113,you
114,i’ve
115,found
116,reason
117,show
118,side
119,me
120,you
121,didn’t
122,know
123,reason
124,i
125,reason
126,you
