,All I've Got to Do_The Beatles
0,whenever
1,i
2,want
3,you
4,around
5,yeah
6,i
7,got
8,call
9,you
10,phone
11,you'll
12,come
13,running
14,home
15,yeah
16,that's
17,i
18,got
19,i
20,i
21,want
22,kiss
23,you
24,yeah
25,i
26,got
27,whisper
28,your
29,ear
30,words
31,you
32,long
33,hear
34,i'll
35,kissin'
36,you
37,goes
38,me
39,whenever
40,you
41,want
42,me
43,i'll
44,yes
45,i
46,whenever
47,you
48,call
49,you
50,got
51,call
52,me
53,yeah
54,you
55,got
56,call
57,me
58,i
59,i
60,want
61,kiss
62,you
63,yeah
64,i
65,got
66,call
67,you
68,phone
69,you'll
70,come
71,runnin'
72,home
73,yeah
74,that's
75,i
76,got
77,goes
78,me
79,whenever
80,you
81,want
82,me
83,i'll
84,yes
85,i
86,whenever
87,you
88,call
89,you
90,got
91,call
92,me
93,yeah
94,you
95,got
96,call
97,me
