,Stubborn Love_The Lumineers
0,she'll
1,lie
2,steal
3,cheat
4,beg
5,knees
6,make
7,think
8,means
9,time
10,she'll
11,tear
12,hole
13,one
14,can't
15,repair
16,still
17,love
18,really
19,care
20,bridge
21,young
22,oh
23,oh
24,enough
25,got
26,cold
27,ooh
28,ooh
29,bundled
30,can't
31,told
32,ah
33,ah
34,can't
35,done
36,better
37,feel
38,pain
39,nothing
40,opposite
41,love
42,indifference
43,pay
44,attention
45,i'm
46,standing
47,porch
48,screamin'
49,leave
50,come
51,downstairs
52,keep
53,head
54,keep
55,love
56,keep
57,head
58,love
59,keep
60,head
61,love
62,keep
63,head
64,keep
65,love
66,blame
67,dear
68,running
69,like
70,years
71,would
72,best
73,believe
74,highway
75,signs
76,say
77,we're
78,close
79,read
80,things
81,anymore
82,never
83,trusted
84,eyes
85,bridge
86,young
87,oh
88,oh
89,enough
90,got
91,cold
92,ooh
93,ooh
94,bundled
95,can't
96,told
97,ah
98,ah
99,can't
100,done
101,keep
102,head
103,keep
104,love
105,keep
106,head
107,love
108,keep
109,head
110,love
111,keep
112,head
113,keep
114,love
115,outro
116,head
117,love
118,head
119,love
120,head
121,love
122,head
123,love
