,The Shrine / An Argument_Fleet Foxes
0,shrine
1,went
2,among
3,dust
4,pollen
5,old
6,stone
7,fountain
8,morning
9,dawn
10,underneath
11,pennies
12,fallen
13,hands
14,children
15,gone
16,pre-chorus
17,wonder
18,became
19,became
20,sunlight
21,matter
22,apples
23,summer
24,cold
25,sweet
26,everyday
27,a'passin
28,complete
29,i'm
30,one
31,ever
32,pray
33,mercy
34,wish
35,pennies
36,fountain
37,shrine
38,day
39,know
40,left
41,money
42,thought
43,copper
44,glowing
45,fine
46,pre-chorus
47,wonder
48,became
49,became
50,sunlight
51,matter
52,apples
53,summer
54,cold
55,sweet
56,everyday
57,passing
58,complete
59,apples
60,summer
61,cold
62,sweet
63,everyday
64,passing
65,complete
66,bridge
67,morning
68,waking
69,terrible
70,sunlight
71,diffuse
72,like
73,skin
74,abused
75,sun
76,half
77,size
78,talk
79,hardly
80,even
81,look
82,eyes
83,morning
84,morning
85,doorway
86,holding
87,every
88,letter
89,wrote
90,driveway
91,pulling
92,away
93,putting
94,coat
95,ocean
96,washing
97,name
98,throat
99,morning
100,morning
101,ocean
102,washing
103,name
104,throat
105,morning
106,morning
107,outro
108,green
109,apples
110,hang
111,tree
112,belong
113,green
114,apples
115,hang
116,green
117,apple
118,tree
119,belong
120,stay
121,staring
122,sea
123,waves
124,break
125,ever
126,closer
127,ever
128,near
129,lay
130,sand
131,let
132,ocean
133,lead
134,carry
135,innisfree
136,like
137,pollen
138,breeze
139,argument
