,Home_Michael Bublé
0,another
1,summer
2,day
3,come
4,gone
5,away
6,paris
7,rome
8,i
9,wanna
10,go
11,home
12,mmm
13,may
14,surrounded
15,million
16,people
17,i
18,still
19,feel
20,alone
21,i
22,wanna
23,go
24,home
25,oh
26,i
27,miss
28,you
29,you
30,know
31,i've
32,keeping
33,letters
34,i
35,wrote
36,you
37,one
38,line
39,two
40,i'm
41,fine
42,baby
43,you
44,well
45,i
46,would
47,send
48,i
49,know
50,enough
51,my
52,words
53,cold
54,flat
55,you
56,deserve
57,another
58,aeroplane
59,another
60,sunny
61,place
62,i'm
63,lucky
64,i
65,know
66,i
67,wanna
68,go
69,home
70,mmm
71,i
72,got
73,go
74,home
75,let
76,me
77,go
78,home
79,i'm
80,far
81,you
82,i
83,wanna
84,come
85,home
86,i
87,feel
88,like
89,i'm
90,living
91,someone
92,else's
93,life
94,like
95,i
96,stepped
97,outside
98,everything
99,going
100,right
101,i
102,know
103,you
104,could
105,come
106,along
107,me
108,your
109,dream
110,you
111,always
112,believed
113,me
114,another
115,winter
116,day
117,come
118,gone
119,away
120,even
121,paris
122,rome
123,i
124,wanna
125,go
126,home
127,let
128,me
129,go
130,home
131,i'm
132,surrounded
133,million
134,people
135,i
136,i
137,still
138,feel
139,alone
140,oh
141,let
142,me
143,go
144,home
145,oh
146,i
147,miss
148,you
149,you
150,know
151,let
152,me
153,go
154,home
155,i've
156,my
157,run
158,baby
159,i'm
160,done
161,i
162,gotta
163,go
164,home
165,let
166,me
167,go
168,home
169,it'll
170,right
171,i'll
172,home
173,tonight
174,i'm
175,coming
176,back
177,home
