,A Lack of Color_Death Cab for Cutie
0,i
1,see
2,you
3,i
4,really
5,see
6,you
7,upside
8,my
9,brain
10,knows
11,better
12,picks
13,you
14,turns
15,you
16,around
17,turns
18,you
19,around
20,turns
21,you
22,around
23,you
24,feel
25,discouraged
26,there's
27,lack
28,color
29,please
30,worry
31,lover
32,really
33,bursting
34,seams
35,absorbing
36,everything
37,spectrums
38,z
39,fact
40,fiction
41,first
42,time
43,years
44,girls
45,every
46,girly
47,magazine
48,can't
49,make
50,me
51,feel
52,less
53,alone
54,i'm
55,reaching
56,phone
57,call
58,703
59,your
60,machine
61,i
62,slur
63,plea
64,you
65,come
66,home
67,i
68,know
69,late
70,i
71,given
72,you
73,reason
74,stay
75,given
76,you
77,reason
78,stay
79,given
80,you
81,reason
82,stay
83,given
84,you
85,reason
86,stay
87,fact
88,fiction
89,first
90,time
91,years
