,Checkmarks_The Academy Is...
0,you
1,i
2,stand
3,far
4,i
5,remember
6,you
7,half
8,bad
9,your
10,bedroom
11,behavior
12,never
13,checkmarks
14,bedposts
15,i
16,remember
17,never
18,prechorus
19,get
20,me
21,rain
22,you
23,get
24,me
25,my
26,clothes
27,hope
28,i
29,make
30,sound
31,you
32,hope
33,nobody
34,knows
35,get
36,me
37,rain
38,get
39,me
40,my
41,clothes
42,hope
43,i
44,make
45,sound
46,you
47,hope
48,one
49,suck
50,your
51,socalled
52,pity
53,bad
54,take
55,your
56,cold
57,cold
58,heart
59,drown
60,forget
61,take
62,deep
63,breaths
64,suck
65,your
66,socalled
67,pity
68,bad
69,take
70,your
71,cold
72,cold
73,heart
74,drown
75,forget
76,take
77,deep
78,breaths
79,explain
80,'cause
81,i
82,know
83,exactly
84,you're
85,going
86,say
87,big
88,words
89,recycled
90,phrases
91,bittersweet
92,taste
93,boys
94,your
95,lips
96,sit
97,talk
98,you
99,wanted
100,sit
101,talk
102,you
103,wanted
104,you
105,wanted
106,prechorus
107,get
108,me
109,rain
110,you
111,get
112,me
113,my
114,clothes
115,hope
116,i
117,make
118,sound
119,you
120,hope
121,nobody
122,knows
123,suck
124,your
125,socalled
126,pity
127,bad
128,take
129,your
130,cold
131,cold
132,heart
133,drown
134,forget
135,take
136,deep
137,breaths
138,suck
139,your
140,socalled
141,pity
142,bad
143,take
144,your
145,cold
146,cold
147,heart
148,drown
149,forget
150,take
151,deep
152,breaths
153,you
154,miss
155,looking
156,floor
157,my
158,face
159,stage
160,crowded
161,room
162,well
163,i
164,bet
165,you're
166,still
167,sucker
168,famous
169,faces
170,downtown
171,looking
172,looking
173,crowd
174,i
175,hope
176,you're
177,look
178,me
179,well
180,look
181,we've
182,changed
183,suck
184,your
185,socalled
186,pity
187,bad
188,take
189,your
190,cold
191,cold
192,heart
193,drown
194,forget
195,take
196,deep
197,breaths
198,suck
199,your
200,socalled
201,pity
202,bad
203,take
204,your
205,cold
206,cold
207,heart
208,drown
209,forget
210,take
211,deep
212,breaths
