,Goodbye Kiss_Kasabian
0,doomed
1,start
2,met
3,goodbye
4,kiss
5,i'd
6,broke
7,wrist
8,kicked
9,choice
10,said
11,mind
12,'cos
13,love's
14,hard
15,find
16,hook
17,la
18,la
19,la
20,la
21,maybe
22,days
23,gone
24,living
25,silence
26,far
27,long
28,open
29,eyes
30,see
31,laughs
32,photographs
33,turning
34,slowly
35,looking
36,back
37,see
38,words
39,save
40,broken
41,i'm
42,pissed
43,run
44,along
45,like
46,i'm
47,supposed
48,man
49,ought
50,rock
51,roll
52,sent
53,us
54,insane
55,hope
56,day
57,meet
58,running
59,wild
60,giving
61,everyone
62,that's
63,done
64,'cos
65,burnt
66,that's
67,everything
68,can't
69,true
70,hook
71,la
72,la
73,la
74,la
75,maybe
76,days
77,gone
78,living
79,silence
80,long
81,open
82,eyes
83,see
84,last
85,stand
86,let
87,go
88,hand
89,turning
90,slowly
91,looking
92,back
93,see
94,words
95,save
96,broken
97,i'm
98,pissed
99,run
100,along
101,like
102,i'm
103,supposed
104,man
105,ought
106,rock
107,roll
108,sent
109,us
110,insane
111,hope
112,day
113,meet
114,go
115,way
116,i'll
117,go
118,way
119,words
120,save
121,us
122,lifestyle
123,made
124,us
125,run
126,along
127,like
128,i'm
129,supposed
130,man
131,ought
132,rock
133,roll
134,sent
135,us
136,insane
137,hope
138,day
139,meet
