,Arms_Christina Perri
0,never
1,thought
2,would
3,one
4,hold
5,heart
6,came
7,around
8,knocked
9,ground
10,start
11,bridge
12,put
13,arms
14,around
15,believe
16,easier
17,let
18,go
19,put
20,arms
21,around
22,i'm
23,home
24,many
25,times
26,let
27,change
28,mind
29,turn
30,around
31,can't
32,decide
33,i'll
34,let
35,save
36,life
37,i'll
38,drown
39,hook
40,hope
41,see
42,right
43,walls
44,hope
45,catch
46,cause
47,i'm
48,already
49,falling
50,i'll
51,never
52,let
53,love
54,get
55,close
56,put
57,arms
58,around
59,i'm
60,home
61,world
62,coming
63,can't
64,find
65,reason
66,loved
67,never
68,wanna
69,leave
70,can't
71,make
72,bleed
73,i'm
74,alone
75,bridge
76,put
77,arms
78,around
79,believe
80,easier
81,let
82,go
83,hook
84,hope
85,see
86,right
87,walls
88,hope
89,catch
90,cause
91,i'm
92,already
93,falling
94,i'll
95,never
96,let
97,love
98,get
99,close
100,put
101,arms
102,around
103,i'm
104,home
105,tried
106,best
107,never
108,let
109,see
110,truth
111,i've
112,never
113,opened
114,i've
115,never
116,truly
117,loved
118,'til
119,put
120,arms
121,around
122,believe
123,easier
124,let
125,go
126,hook
127,hope
128,see
129,right
130,walls
131,hope
132,catch
133,cause
134,i'm
135,already
136,falling
137,i'll
138,never
139,let
140,love
141,get
142,close
143,put
144,arms
145,around
146,i'm
147,home
