,Here Comes My Baby_Cat Stevens
0,midnight
1,moonlight
2,i'll
3,walkin'
4,long
5,lonely
6,mile
7,every
8,time
9,i
10,i
11,keep
12,seein'
13,picture
14,you
15,comes
16,my
17,baby
18,she
19,comes
20,comes
21,surprise
22,me
23,another
24,guy
25,comes
26,my
27,baby
28,she
29,comes
30,walkin'
31,love
32,love
33,that's
34,fine
35,never
36,could
37,mine
38,matter
39,i
40,try
41,you
42,never
43,walk
44,alone
45,you're
46,forever
47,talkin'
48,phone
49,i've
50,tried
51,call
52,you
53,names
54,every
55,time
56,comes
57,comes
58,my
59,baby
60,she
61,comes
62,comes
63,surprise
64,me
65,another
66,guy
67,comes
68,my
69,baby
70,she
71,comes
72,walkin'
73,love
74,love
75,that's
76,fine
77,never
78,could
79,mine
80,matter
81,i
82,try
83,i'm
84,still
85,waitin'
86,your
87,heart
88,cause
89,i'm
90,sure
91,day
92,gonna
93,start
94,you'll
95,mine
96,hold
97,day
98,till
99,i
100,say
101,comes
102,my
103,baby
104,she
105,comes
106,comes
107,surprise
108,me
109,another
110,guy
111,comes
112,my
113,baby
114,she
115,comes
116,walkin'
117,love
118,love
119,that's
120,fine
121,never
122,could
123,mine
124,matter
125,i
126,try
127,comes
128,my
129,baby
130,she
131,comes
132,comes
133,surprise
134,me
135,another
136,guy
137,comes
138,my
139,baby
