,Chasing Pavements_Adele
0,i've
1,made
2,my
3,mind
4,need
5,think
6,i'm
7,wrong
8,i
9,right
10,need
11,look
12,ain't
13,lust
14,i
15,know
16,love
17,i
18,tell
19,world
20,i'll
21,never
22,say
23,enough
24,'cause
25,said
26,you
27,that's
28,exactly
29,i
30,need
31,i
32,end
33,you
34,i
35,give
36,i
37,keep
38,chasing
39,pavements
40,even
41,leads
42,nowhere
43,would
44,waste
45,even
46,i
47,knew
48,my
49,place
50,i
51,leave
52,i
53,give
54,i
55,keep
56,chasing
57,pavements
58,even
59,leads
60,nowhere
61,i
62,build
63,myself
64,fly
65,around
66,circles
67,waiting
68,my
69,heart
70,drops
71,my
72,back
73,begins
74,tingle
75,finally
76,could
77,i
78,give
79,i
80,keep
81,chasing
82,pavements
83,even
84,leads
85,nowhere
86,would
87,waste
88,even
89,i
90,knew
91,my
92,place
93,i
94,leave
95,i
96,give
97,i
98,keep
99,chasing
100,pavements
101,even
102,leads
103,nowhere
104,yeah
105,breakdown
106,i
107,give
108,i
109,keep
110,chasing
111,pavements
112,even
113,leads
114,nowhere
115,would
116,waste
117,even
118,i
119,knew
120,my
121,place
122,i
123,leave
124,i
125,give
126,i
127,keep
128,chasing
129,pavements
130,i
131,keep
132,chasing
133,pavements
134,oh
135,oh
136,i
137,give
138,i
139,keep
140,chasing
141,pavements
142,even
143,leads
144,nowhere
145,would
146,waste
147,even
148,i
149,knew
150,my
151,place
152,i
153,leave
154,i
155,give
156,i
157,keep
158,chasing
159,pavements
160,even
161,leads
162,nowhere
