,Wildest Moments_Jessie Ware
0,bloodlines
1,come
2,together
3,every
4,time
5,two
6,wrongs
7,rights
8,lose
9,night
10,pre-chorus
11,outside
12,outside
13,everyone
14,must
15,wondering
16,try
17,try
18,baby
19,wildest
20,moments
21,could
22,greatest
23,could
24,greatest
25,maybe
26,wildest
27,moments
28,could
29,worst
30,baby
31,wildest
32,moments
33,could
34,greatest
35,could
36,greatest
37,maybe
38,wildest
39,moments
40,could
41,worst
42,wait
43,thunder
44,sky
45,wherever
46,there’s
47,smoke
48,there'll
49,soon
50,fire
51,could
52,bring
53,bad
54,luck
55,i’ve
56,looking
57,much
58,pre-chorus
59,outside
60,outside
61,everyone
62,must
63,wondering
64,try
65,try
66,baby
67,wildest
68,moments
69,could
70,greatest
71,could
72,greatest
73,maybe
74,wildest
75,moments
76,could
77,worst
78,baby
79,wildest
80,moments
81,could
82,greatest
83,could
84,greatest
85,maybe
86,wildest
87,moments
88,could
89,worst
90,bridge
91,middle
92,walk
93,walk
94,line
95,looking
96,back
97,miss
98,wildest
99,moments
100,thinking
101,ruined
102,wrecking
103,ball
104,pre-chorus
105,outside
106,outside
107,everyone
108,must
109,wondering
110,try
111,try
112,baby
113,wildest
114,moments
115,could
116,greatest
117,could
118,greatest
119,maybe
120,wildest
121,moments
122,could
123,worst
124,baby
125,wildest
126,moments
127,could
128,greatest
129,could
130,greatest
131,maybe
132,wildest
133,moments
134,could
135,worst
