,Crash into Me_Dave Matthews Band
0,got
1,ball
2,got
3,chain
4,tied
5,tight
6,tie
7,who's
8,got
9,claws
10,friend
11,heart
12,i'll
13,beat
14,sweet
15,like
16,candy
17,soul
18,sweet
19,rock
20,sweet
21,roll
22,lost
23,i'm
24,lost
25,oh
26,come
27,crash
28,come
29,come
30,boy's
31,dream
32,boy's
33,dream
34,touch
35,lips
36,know
37,eyes
38,love
39,glows
40,i'm
41,bare
42,boned
43,crazy
44,oh
45,come
46,crash
47,yeah
48,baby
49,come
50,boy's
51,dream
52,boys
53,dream
54,i've
55,gone
56,overboard
57,i'm
58,begging
59,forgive
60,haste
61,i'm
62,holding
63,girl
64,close
65,come
66,crash
67,baby
68,come
69,hike
70,skirt
71,little
72,show
73,world
74,hike
75,skirt
76,little
77,show
78,world
79,boy's
80,dream
81,boys
82,dream
83,oh
84,watch
85,window
86,stare
87,wear
88,nothing
89,wear
90,well
91,tied
92,twisted
93,way
94,i'd
95,like
96,come
97,crash
98,baby
99,come
100,crash
101,yeah
102,crash
103,crash
104,outro
105,oh
106,know
107,i'm
108,king
109,castle
110,dirty
111,rascal
112,crash
113,please
114,crash
115,baby
116,know
117,see
118,way
119,come
120,crash
121,see
122,way
123,come
124,rash
125,crash
126,oh
127,hey
128,oh
129,hey
130,yeah
