,All I Want_Kodaline
0,i
1,want
2,nothing
3,hear
4,you
5,knocking
6,my
7,door
8,'cause
9,i
10,could
11,see
12,your
13,face
14,i
15,could
16,die
17,happy
18,man
19,i'm
20,sure
21,you
22,said
23,your
24,last
25,goodbye
26,i
27,died
28,little
29,bit
30,inside
31,i
32,lay
33,tears
34,bed
35,night
36,alone
37,without
38,you
39,my
40,side
41,you
42,loved
43,me
44,why'd
45,you
46,leave
47,me
48,take
49,my
50,body
51,take
52,my
53,body
54,i
55,want
56,i
57,need
58,find
59,somebody
60,i'll
61,find
62,somebody
63,like
64,you
65,oh
66,oh
67,oh
68,like
69,you
70,like
71,you
72,you
73,brought
74,best
75,me
76,part
77,me
78,i'd
79,never
80,seen
81,you
82,took
83,my
84,soul
85,wiped
86,clean
87,love
88,made
89,movie
90,screens
91,you
92,loved
93,me
94,why'd
95,you
96,leave
97,me
98,take
99,my
100,body
101,take
102,my
103,body
104,i
105,want
106,i
107,need
108,find
109,somebody
110,i'll
111,find
112,somebody
113,oh
114,oh
115,oh
116,oh
117,oh
118,oh
119,oh
120,oh
121,oh
122,oh
123,oh
124,oh
125,oh
126,oh
127,you
128,loved
129,me
130,why'd
131,you
132,leave
133,me
134,take
135,my
136,body
137,take
138,my
139,body
140,i
141,want
142,i
143,need
144,find
145,somebody
146,i'll
147,find
148,somebody
149,like
150,you
