,Accidental Babies_Damien Rice
0,well
1,i
2,held
3,you
4,like
5,lover
6,happy
7,hands
8,your
9,elbow
10,appropriate
11,place
12,ignored
13,others
14,happy
15,plans
16,delicate
17,look
18,upon
19,your
20,face
21,bodies
22,moved
23,hardened
24,hurting
25,parts
26,your
27,garden
28,room
29,pardon
30,place
31,one
32,knows
33,done
34,you
35,come
36,together
37,ever
38,him
39,he
40,dark
41,enough
42,enough
43,see
44,your
45,light
46,you
47,brush
48,your
49,teeth
50,you
51,kiss
52,you
53,miss
54,my
55,smell
56,he
57,bold
58,enough
59,take
60,you
61,you
62,feel
63,like
64,you
65,belong
66,he
67,drive
68,you
69,wild
70,mildly
71,free
72,me
73,well
74,you
75,held
76,me
77,like
78,lover
79,sweaty
80,hands
81,my
82,foot
83,appropriate
84,place
85,use
86,cushions
87,cover
88,happy
89,glands
90,mild
91,issue
92,disgrace
93,minds
94,pressed
95,guarded
96,flesh
97,disregarded
98,lack
99,space
100,lighthearted
101,boom
102,beats
103,drum
104,i
105,know
106,i
107,make
108,you
109,cry
110,i
111,know
112,sometimes
113,you
114,wanna
115,die
116,you
117,really
118,feel
119,alive
120,without
121,me
122,free
123,leave
124,him
125,me
126,one
127,us
128,accidental
129,babies
130,love
131,you
132,come
133,together
134,ever
135,him
136,he
137,dark
138,enough
139,enough
140,see
141,your
142,light
143,you
144,brush
145,your
146,teeth
147,you
148,kiss
149,you
150,miss
151,my
152,smell
153,he
154,bold
155,enough
156,take
157,you
158,you
159,feel
160,like
161,you
162,belong
163,he
164,drive
165,you
166,wild
167,mildly
168,free
169,me
170,me
