,I'd Do Anything for Love (But I Won't Do That)_Meat Loaf
0,would
1,anything
2,love
3,i'd
4,run
5,right
6,hell
7,back
8,would
9,anything
10,love
11,i'll
12,never
13,lie
14,that's
15,fact
16,i'll
17,never
18,forget
19,way
20,feel
21,right
22,-
23,oh
24,-
25,way
26,would
27,anything
28,love
29,anything
30,love
31,oh
32,would
33,anything
34,love
35,would
36,anything
37,love
38,days
39,come
40,easy
41,days
42,come
43,hard
44,days
45,come
46,days
47,never
48,end
49,nights
50,breathing
51,fire
52,nights
53,carved
54,ice
55,nights
56,like
57,nothing
58,i've
59,ever
60,seen
61,pre-chorus
62,maybe
63,i'm
64,crazy
65,oh
66,crazy
67,true
68,know
69,save
70,one
71,else
72,save
73,long
74,planets
75,turning
76,long
77,stars
78,burning
79,long
80,dreams
81,coming
82,true-
83,better
84,believe
85,would
86,anything
87,love
88,i'll
89,till
90,final
91,act
92,would
93,anything
94,love
95,i'll
96,take
97,vow
98,seal
99,pact
100,i'll
101,never
102,forgive
103,go
104,way
105,tonight
106,would
107,anything
108,love
109,oh
110,would
111,anything
112,love
113,oh
114,would
115,anything
116,love
117,hook
118,would
119,anything
120,love
121,anything
122,dreaming
123,would
124,anything
125,love
126,anything
127,dreaming
128,would
129,anything
130,love
131,anything
132,dreaming
133,days
134,pray
135,silence
136,days
137,pray
138,soul
139,days
140,pray
141,god
142,sex
143,drums
144,rock
145,'n'
146,roll
147,nights
148,lose
149,feeling
150,nights
151,lose
152,control
153,nights
154,lose
155,watch
156,dance
157,thunder
158,rolls
159,pre-chorus
160,maybe
161,i'm
162,lonely
163,that's
164,i'm
165,qualified
166,there's
167,one
168,one
169,promise
170,keep
171,long
172,wheels
173,turning
174,long
175,fires
176,burning
177,long
178,prayers
179,coming
180,true
181,better
182,believe
183,would
184,anything
185,love
186,know
187,true
188,thats
189,fact
190,would
191,anything
192,love
193,there'll
194,never
195,turning
196,back
197,i'll
198,never
199,better
200,long
201,long
202,would
203,anything
204,love
205,oh
206,would
207,anything
208,love
209,would
210,anything
211,love
212,hook
213,would
214,anything
215,love
216,anything
217,dreaming
218,would
219,anything
220,love
221,anything
222,dreaming
223,would
224,anything
225,love
226,anything
227,dreaming
228,would
229,anything
230,love
231,anything
232,dreaming
233,would
234,anything
235,love
236,anything
237,dreaming
238,would
239,anything
240,love
241,anything
242,dreaming
243,would
244,anything
245,love
246,anything
247,dreaming
248,i'll
249,never
250,stop
251,dreaming
252,every
253,night
254,life
255,way
256,would
257,anything
258,love
259,oh
260,would
261,anything
262,love
263,oh
264,would
265,anything
266,love
267,call
268,lorraine
269,crosby
270,raise
271,help
272,help
273,get
274,right
275,godforsaken
276,town
277,make
278,little
279,less
280,cold
281,response
282,meat
283,loaf
284,call
285,lorraine
286,crosby
287,hold
288,sacred
289,hold
290,tight
291,colorize
292,life
293,i'm
294,sick
295,black
296,white
297,make
298,little
299,less
300,old
301,response
302,meat
303,loaf
304,oh
305,oh
306,call
307,lorraine
308,crosby
309,make
310,magic
311,two
312,hands
313,build
314,emerald
315,city
316,grains
317,sand
318,give
319,something
320,take
321,home
322,response
323,meatloaf
324,call
325,lorraine
326,crosby
327,cater
328,every
329,fantasy
330,i've
331,got
332,hose
333,holy
334,water
335,-
336,get
337,hot
338,take
339,places
340,i'll
341,never
342,know
343,response
344,meat
345,loaf
346,oh
347,call
348,lorraine
349,crosby
350,forget
351,everything
352,brief
353,interlude
354,mid-summer
355,night's
356,fling
357,see
358,time
359,move
360,response
361,meat
362,loaf
363,call
364,lorraine
365,crosby
366,know
367,territory
368,-
369,i've
370,around
371,it'll
372,turn
373,dust
374,we'll
375,fall
376,sooner
377,later
378,screwing
379,around
380,response
381,meat
382,loaf
383,outro
384,anything
385,love
386,oh
387,would
388,anything
389,love
390,would
391,anything
392,love
