,Fall at Your Feet_Crowded House
0,i'm
1,really
2,close
3,tonight
4,i
5,feel
6,like
7,i'm
8,moving
9,inside
10,her
11,lying
12,dark
13,i
14,think
15,i'm
16,beginning
17,know
18,her
19,let
20,go
21,i'll
22,you
23,call
24,whenever
25,i
26,fall
27,your
28,feet
29,you
30,let
31,your
32,tears
33,rain
34,me
35,whenever
36,i
37,touch
38,your
39,slow
40,turning
41,pain
42,you're
43,hiding
44,me
45,there's
46,something
47,way
48,you're
49,talking
50,words
51,sound
52,right
53,i
54,hear
55,moving
56,inside
57,you
58,know
59,i'll
60,waiting
61,you
62,call
63,hey
64,whenever
65,i
66,fall
67,your
68,feet
69,you
70,let
71,your
72,tears
73,rain
74,me
75,whenever
76,i
77,touch
78,your
79,slow
80,turning
81,pain
82,finger
83,blame
84,turned
85,upon
86,i'm
87,willing
88,offer
89,myself
90,you
91,want
92,my
93,presence
94,need
95,my
96,help
97,knows
98,might
99,lead
100,i
101,fall
102,whenever
103,i
104,fall
105,your
106,feet
107,you
108,let
109,your
110,tears
111,rain
112,me
113,whenever
114,i
115,fall
116,your
117,feet
118,whenever
119,i
120,fall
