,One More Night_Phil Collins
0,one
1,night
2,one
3,night
4,one
5,night
6,i've
7,trying
8,ooh
9,long
10,let
11,know
12,let
13,know
14,feel
15,stumble
16,fall
17,help
18,back
19,make
20,see
21,please
22,give
23,one
24,night
25,give
26,one
27,night
28,one
29,night
30,'cause
31,can't
32,wait
33,forever
34,give
35,one
36,night
37,uh
38,one
39,night
40,oh
41,one
42,night
43,'cause
44,can't
45,wait
46,forever
47,i've
48,sitting
49,long
50,wasting
51,time
52,staring
53,phone
54,wondering
55,call
56,thought
57,maybe
58,alone
59,please
60,give
61,one
62,night
63,give
64,one
65,night
66,oh
67,one
68,night
69,'cause
70,can't
71,wait
72,forever
73,please
74,give
75,one
76,night
77,uh^
78,one
79,night
80,oh
81,one
82,night
83,'cause
84,can't
85,wait
86,forever
87,give
88,one
89,night
90,give
91,one
92,night
93,ooh
94,one
95,night
96,'cause
97,can't
98,wait
99,forever
100,bridge
101,like
102,river
103,sea
104,always
105,sail
106,away
107,follow
108,give
109,one
110,night
111,give
112,one
113,night
114,oh
115,one
116,night
117,'cause
118,can't
119,wait
120,forever
121,bridge
122,know
123,there'll
124,never
125,time
126,ever
127,feel
128,know
129,words
130,change
131,mind
132,know
133,i'll
134,maybe
135,learn
136,outro
137,give
138,one
139,night
140,give
141,one
142,night
143,ooh
144,one
145,night
146,'cause
147,can't
148,wait
149,forever
150,give
151,one
152,night
153,give
154,one
155,night
156,ooh
157,one
158,night
159,'cause
160,can't
161,wait
162,forever
163,saxophone
164,solo
