,Never Say Never_The Fray
0,things
1,talk
2,rather
3,without
4,hold
5,smile
6,falling
7,love
8,ashamed
9,proud
10,together
11,pre-chorus
12,never
13,say
14,never
15,know
16,time
17,time
18,younger
19,let
20,go
21,let
22,go
23,let
24,go
25,let
26,go
27,let
28,go
29,let
30,go
31,picture
32,queen
33,everything
34,far
35,eye
36,see
37,command
38,guardian
39,crumbling
40,i'll
41,steady
42,hand
43,pre-chorus
44,never
45,say
46,never
47,know
48,time
49,time
50,time
51,younger
52,let
53,go
54,let
55,go
56,let
57,go
58,let
59,go
60,let
61,go
62,let
63,go
64,bridge
65,we're
66,pulling
67,apart
68,coming
69,together
70,we're
71,growing
72,apart
73,pull
74,together
75,pull
76,together
77,together
78,let
79,go
80,let
81,go
82,let
83,go
84,let
85,go
86,let
87,go
88,let
89,go
90,let
91,go
92,let
93,go
94,let
95,go
96,let
97,go
98,let
99,go
100,let
101,go
