,Always on My Mind_Willie Nelson
0,maybe
1,i
2,love
3,you
4,quite
5,often
6,i
7,could
8,maybe
9,i
10,treat
11,you
12,quite
13,good
14,i
15,i
16,made
17,you
18,feel
19,second
20,best
21,girl
22,i'm
23,sorry
24,i
25,blind
26,you
27,always
28,my
29,mind
30,you
31,always
32,my
33,mind
34,maybe
35,i
36,hold
37,you
38,lonely
39,lonely
40,times
41,i
42,guess
43,i
44,never
45,told
46,you
47,i'm
48,happy
49,you're
50,mine
51,little
52,things
53,i
54,said
55,done
56,i
57,never
58,took
59,time
60,you
61,always
62,my
63,mind
64,you
65,always
66,my
67,mind
68,tell
69,me
70,tell
71,me
72,your
73,sweet
74,love
75,died
76,give
77,me
78,give
79,me
80,one
81,chance
82,keep
83,you
84,satisfied
85,keep
86,you
87,satisfied
88,little
89,things
90,i
91,said
92,done
93,i
94,never
95,took
96,time
97,you
98,always
99,my
100,mind
101,you
102,always
103,my
104,mind
