,Fire Meet Gasoline_Sia
0,dangerous
1,fall
2,love
3,i
4,wanna
5,burn
6,you
7,tonight
8,hurt
9,me
10,there's
11,two
12,us
13,we're
14,certain
15,desire
16,pleasure's
17,pain
18,fire
19,burn
20,me
21,prechorus
22,come
23,i'll
24,take
25,you
26,take
27,you
28,i
29,ache
30,love
31,ache
32,us
33,you
34,come
35,you
36,come
37,little
38,closer
39,come
40,strike
41,match
42,strike
43,match
44,perfect
45,match
46,perfect
47,somehow
48,meant
49,one
50,another
51,come
52,little
53,closer
54,flame
55,you
56,came
57,me
58,fire
59,meet
60,gasoline
61,fire
62,meet
63,gasoline
64,i'm
65,burnin'
66,alive
67,i
68,barely
69,breathe
70,you're
71,loving
72,me
73,fire
74,meet
75,gasoline
76,fire
77,meet
78,gasoline
79,i
80,got
81,i
82,need
83,you
84,came
85,me
86,fire
87,meet
88,gasoline
89,i'm
90,burnin'
91,alive
92,i
93,barely
94,breathe
95,you're
96,loving
97,me
98,fire
99,meet
100,gasoline
101,fire
102,meet
103,gasoline
104,fire
105,meet
106,gasoline
107,burn
108,me
109,tonight
110,fly
111,like
112,smoke
113,darkenin'
114,skies
115,i'm
116,eve
117,i
118,wanna
119,try
120,take
121,bite
122,prechorus
123,variation
124,come
125,strike
126,match
127,strike
128,match
129,we're
130,perfect
131,match
132,perfect
133,somehow
134,meant
135,one
136,another
137,come
138,little
139,closer
140,flame
141,you
142,came
143,me
144,fire
145,meet
146,gasoline
147,fire
148,meet
149,gasoline
150,i'm
151,burnin'
152,alive
153,i
154,barely
155,breathe
156,you're
157,loving
158,me
159,fire
160,meet
161,gasoline
162,fire
163,meet
164,gasoline
165,i
166,got
167,i
168,need
169,you
170,came
171,back
172,me
173,fire
174,meet
175,gasoline
176,i'm
177,burnin'
178,alive
179,i
180,barely
181,breathe
182,you're
183,loving
184,me
185,fire
186,meet
187,gasoline
188,burn
189,me
190,tonight
191,bad
192,bet
193,certain
194,death
195,i
196,want
197,i
198,want
199,i
200,got
201,get
202,fire
203,dies
204,darkened
205,skies
206,hot
207,ash
208,dead
209,match
210,smoke
211,left
212,bad
213,bet
214,certain
215,death
216,i
217,want
218,i
219,want
220,i
221,got
222,get
223,fire
224,dies
225,darkened
226,skies
227,hot
228,ash
229,dead
230,match
231,smoke
232,left
233,flame
234,you
235,came
236,me
237,fire
238,meet
239,gasoline
240,fire
241,meet
242,gasoline
243,i'm
244,burnin'
245,alive
246,i
247,barely
248,breathe
249,you're
250,loving
251,me
252,fire
253,meet
254,gasoline
255,fire
256,meet
257,gasoline
258,i
259,got
260,i
261,need
262,you
263,came
264,back
265,me
266,fire
267,meet
268,gasoline
269,i'm
270,burnin'
271,alive
272,i
273,barely
274,breathe
275,you're
276,loving
277,me
278,fire
279,meet
280,gasoline
281,burn
282,me
283,tonight
284,burn
285,me
286,tonight
287,burn
288,me
289,tonight
290,burn
291,me
292,tonight
293,eh
294,eh
