,Shelter_Birdy
0,i
1,find
2,shelter
3,way
4,undercover
5,hideaway
6,you
7,hear
8,i
9,say
10,i
11,never
12,felt
13,way
14,maybe
15,i
16,said
17,something
18,wrong
19,i
20,make
21,better
22,lights
23,turned
24,maybe
25,i
26,said
27,something
28,wrong
29,i
30,make
31,better
32,lights
33,turned
34,i
35,i
36,felt
37,crystal
38,air
39,i
40,still
41,want
42,drown
43,whenever
44,you
45,leave
46,please
47,teach
48,me
49,gently
50,breathe
51,i'll
52,cross
53,oceans
54,like
55,never
56,you
57,feel
58,way
59,i
60,feel
61,i'll
62,send
63,images
64,back
65,you
66,you
67,see
68,way
69,i
70,feel
71,maybe
72,i
73,said
74,something
75,wrong
76,i
77,make
78,better
79,lights
80,turned
81,maybe
82,i
83,said
84,something
85,wrong
86,i
87,make
88,better
89,lights
90,turned
