,Love_The Smashing Pumpkins
0,mistakes
1,mistakes
2,cowardice
3,shimmy
4,shakes
5,jimmy
6,jakes
7,consequence
8,born
9,airs
10,dues
11,airs
12,madness
13,declare
14,okay
15,love
16,wanted
17,see
18,wanted
19,needed
20,need
21,she'll
22,make
23,love
24,love
25,know
26,love
27,love
28,know
29,love
30,love
31,know
32,love
33,love
34,machine
35,gun
36,blues
37,vacant
38,rush
39,steel
40,i'm
41,unaware
42,lost
43,inside
44,visions
45,got
46,mine
47,got
48,mine
49,got
50,'cause
51,know
52,love
53,wanted
54,see
55,wanted
56,needed
57,need
58,she'll
59,make
60,love
61,love
62,know
63,love
64,love
65,know
66,love
67,love
68,know
69,love
70,love
71,bridge
72,lost
73,mind
74,knew
75,long
76,night
77,outro
78,look
79,look
80,feel
81,felt
82,can't
83,help
84,see
85,can't
86,help
87,needed
88,need
89,she'll
90,make
91,love
92,love
93,know
94,love
95,love
96,know
97,love
98,love
99,know
100,love
101,love
102,know
103,love
104,love
105,know
106,love
107,love
108,love
109,solves
110,everythingbut
111,love
