,Next to Me_Emeli Sandé
0,you
1,won’t
2,find
3,him
4,drinking
5,tables
6,rolling
7,dice
8,staying
9,’til
10,three
11,you
12,won’t
13,ever
14,find
15,him
16,unfaithful
17,you
18,find
19,him
20,you’ll
21,find
22,him
23,next
24,me
25,you
26,won’t
27,find
28,him
29,tryna
30,change
31,devil
32,money
33,fame
34,power
35,greed
36,you
37,ever
38,find
39,him
40,rest
41,go
42,you
43,find
44,him
45,you’ll
46,find
47,him
48,next
49,me
50,next
51,me
52,–
53,wooh
54,hooo
55,next
56,me
57,–
58,wooh
59,hooo
60,next
61,me
62,–
63,wooh
64,hooo
65,you
66,find
67,him
68,you’ll
69,find
70,him
71,next
72,me
73,money’s
74,spent
75,my
76,friends
77,vanished
78,i
79,can’t
80,seem
81,find
82,help
83,love
84,free
85,i
86,know
87,there’s
88,need
89,me
90,panic
91,'cause
92,i’ll
93,find
94,him
95,i’ll
96,find
97,him
98,next
99,me
100,skies
101,grey
102,doors
103,closing
104,rising
105,pressure
106,makes
107,hard
108,breathe
109,i
110,need’s
111,hand
112,stop
113,tears
114,falling
115,i
116,find
117,him
118,i’ll
119,find
120,him
121,next
122,me
123,next
124,me
125,–
126,wooh
127,hooo
128,next
129,me
130,–
131,wooh
132,hooo
133,next
134,me
135,–
136,wooh
137,hooo
138,i
139,find
140,him
141,i’ll
142,find
143,him
144,next
145,me
146,end
147,come
148,buildings
149,falling
150,fast
151,we’ve
152,spoilt
153,land
154,dried
155,sea
156,everyone
157,lost
158,heads
159,around
160,us
161,you
162,find
163,him
164,you’ll
165,find
166,him
167,next
168,me
169,next
170,me
171,–
172,wooh
173,hooo
174,next
175,me
176,–
177,wooh
178,hooo
179,next
180,me
181,–
182,wooh
183,hooo
184,you
185,find
186,him
187,you’ll
188,find
189,him
190,next
191,me
192,next
193,me
194,–
195,wooh
196,hooo
197,next
198,me
199,–
200,wooh
201,hooo
202,next
203,me
204,–
205,wooh
206,hooo
207,you
208,find
209,him
210,you’ll
211,find
212,him
213,next
214,me
