,Supersymmetry_Arcade Fire
0,i
1,know
2,you're
3,living
4,my
5,mind
6,alive
7,i
8,know
9,you're
10,living
11,my
12,mind
13,alive
14,supersymmetry
15,supersymmetry
16,telling
17,truth
18,polite
19,i
20,guess
21,you'll
22,fight
23,telling
24,truth
25,polite
26,i
27,guess
28,we'll
29,fight
30,supersymmetry
31,supersymmetry
32,supersymmetry
33,supersymmetry
34,i
35,lived
36,year
37,bed
38,window
39,reading
40,books
41,better
42,memories
43,wanna
44,feel
45,seasons
46,passing
47,wanna
48,feel
49,spring
50,supersymmetry
51,supersymmetry
52,supersymmetry
53,supersymmetry
54,since
55,i've
56,see
57,you
58,i
59,know
60,you're
61,me
62,heard
63,voice
64,like
65,echo
66,came
67,me
68,supersymmetry
69,supersymmetry
70,supersymmetry
71,supersymmetry
72,supersymmetry
73,supersymmetry
74,supersymmetry
75,ah
76,lalala
77,lala
78,ah
79,lalala
80,lala
81,ah
82,lalala
83,lala
84,ah
85,lalala
86,lala
87,supersymmetry
88,supersymmetry
