,I Woke Up In A Car_Something Corporate
0,woke
1,new
2,york
3,city
4,sleep
5,behind
6,wheel
7,caught
8,train
9,poughkeepsie
10,time
11,stood
12,still
13,wrote
14,letter
15,san
16,diego
17,qualify
18,luck
19,flights
20,connect
21,arizona
22,think
23,i'll
24,stay
25,stuck
26,pre-chorus
27,whoa
28,well
29,woke
30,car
31,traced
32,away
33,fog
34,could
35,see
36,mississippi
37,knees
38,i've
39,never
40,lost
41,i've
42,never
43,felt
44,much
45,home
46,please
47,write
48,folks
49,throw
50,away
51,keys
52,post-chorus
53,woke
54,car
55,woke
56,car
57,met
58,girl
59,kept
60,tattoos
61,homes
62,loved
63,i'd
64,paint
65,body
66,skin
67,gone
68,wrote
69,letter
70,passed
71,rockford
72,said
73,forget
74,maybe
75,maybe
76,know
77,yet
78,pre-chorus
79,whoa
80,well
81,woke
82,car
83,traced
84,away
85,fog
86,could
87,see
88,mississippi
89,knees
90,i've
91,never
92,lost
93,i've
94,never
95,felt
96,much
97,home
98,please
99,write
100,folks
101,throw
102,away
103,keys
104,post-chorus
105,woke
106,car
107,woke
108,car
109,bridge
110,maybe
111,could
112,live
113,forever
114,ever
115,known
116,waiting
117,whenever
118,alone
119,pre-chorus
120,whoa
121,well
122,woke
123,car
124,traced
125,away
126,fog
127,could
128,see
129,mississippi
130,knees
131,i've
132,never
133,lost
134,i've
135,never
136,felt
137,much
138,home
139,please
140,write
141,folks
142,throw
143,away
144,keys
145,well
146,woke
147,car
148,traced
149,away
150,fog
151,could
152,see
153,mississippi
154,knees
155,i've
156,never
157,lost
158,i've
159,never
160,felt
161,much
162,home
163,please
164,write
165,folks
166,throw
167,away
168,keys
169,outro
170,woke
171,car
172,woke
173,car
174,woke
175,car
