,I Never Told You_Colbie Caillat
0,i
1,miss
2,blue
3,eyes
4,you
5,kiss
6,me
7,night
8,i
9,miss
10,way
11,sleep
12,like
13,there's
14,sunrise
15,like
16,taste
17,your
18,smile
19,i
20,miss
21,way
22,breathe
23,prechorus
24,i
25,never
26,told
27,you
28,i
29,said
30,i
31,never
32,told
33,you
34,i
35,held
36,i
37,miss
38,everything
39,you
40,i
41,can't
42,believe
43,i
44,still
45,want
46,you
47,things
48,we've
49,i
50,miss
51,everything
52,you
53,without
54,you
55,i
56,see
57,your
58,blue
59,eyes
60,every
61,time
62,i
63,close
64,mine
65,you
66,make
67,hard
68,see
69,i
70,belong
71,i'm
72,around
73,you
74,like
75,i'm
76,me
77,prechorus
78,i
79,never
80,told
81,you
82,i
83,said
84,i
85,never
86,told
87,you
88,i
89,held
90,i
91,miss
92,everything
93,you
94,still
95,you're
96,gone
97,i
98,can't
99,believe
100,i
101,still
102,want
103,you
104,loving
105,you
106,i
107,never
108,walked
109,away
110,things
111,we've
112,i
113,know
114,never
115,gonna
116,come
117,i
118,miss
119,everything
120,you
121,without
122,you
123,whoa
124,oh
125,prechorus
126,i
127,never
128,told
129,you
130,i
131,said
132,i
133,never
134,told
135,you
136,i
137,held
138,i
139,miss
140,everything
141,you
142,still
143,you're
144,gone
145,i
146,can't
147,believe
148,i
149,still
150,want
151,you
152,loving
153,you
154,i
155,never
156,walked
157,away
158,things
159,we've
160,i
161,know
162,never
163,gonna
164,come
165,i
166,miss
167,everything
168,you
169,without
170,you
171,whoa
172,oh
173,mmm
174,mmmm
