,I Wanna Know_Joe
0,yeah
1,oh
2,yeah
3,alright
4,oh
5,oh
6,oh
7,amazing
8,knock
9,feet
10,mmm
11,every
12,time
13,come
14,around
15,get
16,weak
17,oh
18,yeah
19,nobody
20,ever
21,made
22,feel
23,way
24,oh
25,kiss
26,lips
27,take
28,breath
29,away
30,wanna
31,know
32,wanna
33,know
34,turns
35,yeah
36,i'd
37,like
38,know
39,i'd
40,like
41,know
42,yeah
43,i'd
44,like
45,know
46,makes
47,cry
48,one
49,always
50,makes
51,smile
52,girl
53,never
54,understood
55,worth
56,hmm
57,never
58,took
59,time
60,make
61,work
62,deserve
63,lovin'
64,girl
65,baby
66,i'm
67,kind
68,man
69,shows
70,concern
71,yes
72,oh
73,anyway
74,please
75,let
76,learn
77,wanna
78,know
79,wanna
80,know
81,turns
82,wanna
83,know
84,i'd
85,like
86,know
87,i'd
88,like
89,know
90,makes
91,cry
92,one
93,always
94,makes
95,smile
96,make
97,smile
98,baby
99,bridge
100,tell
101,gotta
102,please
103,baby
104,anything
105,say
106,i'll
107,cause
108,wanna
109,make
110,happy
111,bottom
112,heart
113,true
114,tell
115,gotta
116,please
117,baby
118,anything
119,say
120,i'll
121,cause
122,wanna
123,make
124,happy
125,bottom
126,heart
127,true
128,wish
129,could
130,take
131,journey
132,mind
133,alright
134,find
135,emotions
136,always
137,try
138,hide
139,babe
140,oh
141,believe
142,there's
143,love
144,wanna
145,share
146,oh
147,oh
148,i'll
149,take
150,good
151,care
152,lady
153,fear
154,oh
155,wanna
156,know
157,wanna
158,know
159,turns
160,wanna
161,know
162,i'd
163,like
164,know
165,i'd
166,like
167,know
168,makes
169,cry
170,oh
171,yeah
172,one
173,always
174,makes
175,smile
176,ooh
177,tell
178,tell
179,bridge
180,tell
181,gotta
182,please
183,baby
184,anything
185,say
186,i'll
187,cause
188,wanna
189,make
190,happy
191,bottom
192,heart
193,true
194,tell
195,gotta
196,please
197,baby
198,anything
199,say
200,i'll
201,cause
202,wanna
203,make
204,happy
205,bottom
206,heart
207,true
208,fading
209,wanna
210,know
211,turns
212,i'd
213,like
214,know
215,i'd
216,like
217,know
218,wanna
219,know
220,i'd
221,like
222,know
223,makes
224,cry
225,yeah
226,one
227,always
228,makes
229,smile
230,wanna
231,know
232,turns
233,tell
234,girl
