,A Case of You_Joni Mitchell
0,love
1,got
2,lost
3,said
4,"""i"
5,constant
6,northern
7,"star"""
8,said
9,"""constantly"
10,darkness
11,where's
12,want
13,i'll
14,"bar"""
15,back
16,cartoon
17,coaster
18,blue
19,tv
20,screen
21,light
22,drew
23,map
24,canada
25,oh
26,canada
27,face
28,sketched
29,twice
30,oh
31,blood
32,like
33,holy
34,wine
35,taste
36,bitter
37,sweet
38,oh
39,could
40,drink
41,case
42,darling
43,would
44,still
45,feet
46,oh
47,would
48,still
49,feet
50,oh
51,lonely
52,painter
53,live
54,box
55,paints
56,i'm
57,frightened
58,devil
59,i'm
60,drawn
61,ones
62,ain't
63,afraid
64,remember
65,time
66,told
67,said
68,"""love"
69,touching
70,"souls"""
71,surely
72,touched
73,mine
74,'cause
75,part
76,pours
77,lines
78,time
79,time
80,oh
81,blood
82,like
83,holy
84,wine
85,taste
86,bitter
87,sweet
88,oh
89,could
90,drink
91,case
92,darling
93,still
94,i'd
95,feet
96,would
97,still
98,feet
99,met
100,woman
101,mouth
102,like
103,knew
104,life
105,knew
106,devils
107,deeds
108,said
109,"""go"
110,stay
111,prepared
112,"bleed"""
113,oh
114,blood
115,holy
116,wine
117,bitter
118,bitter
119,sweet
120,oh
121,could
122,drink
123,case
124,darling
125,still
126,i'd
127,feet
128,would
129,still
130,feet
