,Forever Young_Youth Group
0,let's
1,dance
2,style
3,let's
4,dance
5,heaven
6,wait
7,we're
8,watching
9,skies
10,hoping
11,best
12,expecting
13,worst
14,you
15,gonna
16,drop
17,bomb
18,let
19,us
20,die
21,young
22,let
23,us
24,live
25,forever
26,power
27,never
28,say
29,never
30,sitting
31,sandpit
32,life
33,short
34,trip
35,music's
36,sad
37,men
38,you
39,imagine
40,race
41,run
42,turn
43,golden
44,faces
45,sun
46,praising
47,leaders
48,we're
49,getting
50,tune
51,music's
52,played
53,madmen
54,forever
55,young
56,i
57,want
58,forever
59,young
60,you
61,really
62,want
63,live
64,forever
65,forever
66,forever
67,like
68,water
69,like
70,heat
71,melody
72,beat
73,sooner
74,later
75,gone
76,stay
77,young
78,hard
79,get
80,old
81,without
82,cause
83,i
84,want
85,perish
86,like
87,fading
88,horse
89,youth
90,like
91,diamonds
92,sun
93,diamonds
94,forever
95,forever
96,young
97,i
98,want
99,forever
100,young
101,you
102,really
103,want
104,live
105,forever
106,forever
107,forever
108,forever
109,young
110,i
111,want
112,forever
113,young
114,you
115,really
116,want
117,live
118,forever
119,forever
120,forever
121,instrumental
122,break
123,forever
124,young
125,i
126,want
127,forever
128,young
129,you
130,really
131,want
132,live
133,forever
134,forever
135,forever
136,forever
137,young
138,i
139,want
140,forever
141,young
142,you
143,really
144,want
145,live
146,forever
147,forever
