,Brand New Colony_The Postal Service
0,i'll
1,grapes
2,fermented
3,bottled
4,served
5,table
6,set
7,finest
8,suit
9,like
10,perfect
11,gentlemen
12,i'll
13,fire
14,escape
15,that's
16,bolted
17,ancient
18,brick
19,sit
20,contemplate
21,day
22,i'll
23,water-wings
24,save
25,start
26,drowning
27,open
28,tab
29,judgement's
30,brink
31,i'll
32,phonograph
33,plays
34,favorite
35,albums
36,back
37,lying
38,drifting
39,sleep
40,drifting
41,sleep
42,i'll
43,platform
44,shoes
45,undo
46,heredity's
47,done
48,strain
49,look
50,eyes
51,eyes
52,i'll
53,winter
54,coat
55,buttoned
56,zipped
57,straight
58,throat
59,collar
60,catch
61,cold
62,want
63,take
64,far
65,cynics
66,town
67,kiss
68,mouth
69,we'll
70,cut
71,bodies
72,free
73,tethers
74,scene
75,start
76,brand
77,new
78,colony
79,everything
80,change
81,we'll
82,give
83,new
84,names
85,identities
86,erased
87,sun
88,heat
89,grounds
90,bare
91,feet
92,brand
93,new
94,colony
95,brand
96,new
97,colony
98,bridge
99,everything
100,change
101,ooh
102,ooh
103,everything
104,change
105,ooh
106,ooh
107,everything
108,change
109,ooh
110,ooh
