,Turn Your Lights Down Low_Bob Marley & The Wailers
0,turn
1,your
2,lights
3,low
4,pull
5,your
6,window
7,curtains
8,oh
9,let
10,jah
11,moon
12,come
13,shining
14,life
15,saying
16,ooh
17,long
18,long
19,time
20,long
21,long
22,time
23,i
24,got
25,message
26,you
27,girl
28,seems
29,i
30,never
31,time
32,still
33,i
34,gotta
35,get
36,you
37,girl
38,time
39,time
40,word
41,i
42,want
43,give
44,you
45,love
46,i
47,want
48,give
49,you
50,good
51,good
52,loving
53,uh
54,uh
55,right
56,uh
57,oh
58,i
59,oh
60,i
61,oh
62,i
63,yeah
64,i
65,want
66,give
67,you
68,good
69,good
70,loving
71,uh
72,turn
73,your
74,lights
75,low
76,never
77,ever
78,try
79,resist
80,oh
81,let
82,my
83,love
84,come
85,tumbling
86,lives
87,ooh
88,i
89,love
90,you
91,i
92,love
93,you
94,i
95,love
96,you
97,i
98,want
99,you
100,know
101,right
102,know
103,right
104,ooh
105,i
106,love
107,you
108,uhuh
109,yeah
110,uh
111,i
112,want
113,you
114,know
115,right
116,uh
117,i
118,i
119,i
120,want
121,give
122,you
123,love
124,uh
125,yeah
126,i
127,want
128,give
129,you
130,good
131,good
132,loving
133,oh
134,i
135,i
136,want
137,give
138,you
139,good
140,good
141,loving
142,i
143,want
144,give
145,you
146,good
147,good
148,loving
149,i
150,want
151,give
152,you
153,love
154,i
155,want
156,give
157,you
158,good
159,good
160,loving
161,oh
162,i
163,oh
164,i
165,oh
166,i
167,i
168,want
169,give
170,you
171,good
172,good
173,loving
