,This Year's Love_David Gray
0,year's
1,love
2,better
3,last
4,heaven
5,knows
6,high
7,time
8,i've
9,waiting
10,my
11,long
12,you
13,hold
14,me
15,like
16,you
17,feels
18,right
19,oh
20,i
21,start
22,forget
23,my
24,heart
25,gets
26,torn
27,hurt
28,gets
29,thrown
30,feeling
31,like
32,you
33,can't
34,go
35,turning
36,circles
37,time
38,cut
39,like
40,knife
41,oh
42,ya
43,love
44,me
45,got
46,know
47,sure
48,'cause
49,takes
50,something
51,time
52,sweet
53,sweet
54,lies
55,oh
56,i
57,open
58,my
59,arms
60,fall
61,losing
62,control
63,every
64,dream
65,inside
66,my
67,soul
68,prehook
69,ya
70,kiss
71,me
72,midnight
73,street
74,sweep
75,me
76,my
77,feet
78,singing
79,ain't
80,life
81,sweet
82,year's
83,love
84,better
85,last
86,year's
87,love
88,better
89,last
90,'cause
91,who's
92,worry
93,hearts
94,get
95,torn
96,hurt
97,gets
98,thrown
99,ya
100,know
101,life
102,goes
103,prehook
104,ya
105,kiss
106,me
107,midnight
108,street
109,sweep
110,me
111,my
112,feet
113,singing
114,ain't
115,life
116,sweet
117,year's
118,love
119,better
120,last
121,year's
122,love
123,better
124,last
125,year's
126,love
127,better
128,last
129,year's
130,love
131,better
132,last
133,year's
134,love
135,better
136,last
137,ooh
138,ah
139,yeah
140,year's
141,love
142,better
143,last
