,The Scientist_Coldplay
0,come
1,meet
2,tell
3,i'm
4,sorry
5,know
6,lovely
7,find
8,tell
9,need
10,tell
11,set
12,apart
13,tell
14,secrets
15,ask
16,questions
17,oh
18,let's
19,go
20,back
21,start
22,running
23,circles
24,coming
25,tails
26,heads
27,science
28,apart
29,nobody
30,said
31,easy
32,shame
33,us
34,part
35,nobody
36,said
37,easy
38,one
39,ever
40,said
41,would
42,hard
43,oh
44,take
45,back
46,start
47,guessing
48,numbers
49,figures
50,pulling
51,puzzles
52,apart
53,questions
54,science
55,science
56,progress
57,speak
58,loud
59,heart
60,tell
61,love
62,come
63,back
64,haunt
65,oh
66,rush
67,start
68,running
69,circles
70,chasing
71,tails
72,coming
73,back
74,nobody
75,said
76,easy
77,oh
78,shame
79,us
80,part
81,nobody
82,said
83,easy
84,one
85,ever
86,said
87,would
88,hard
89,i'm
90,going
91,back
92,start
93,outro
94,oh-ooh
95,ooh-ooh-ooh-ooh
96,aah-ooh
97,ooh-ooh-ooh-ooh
98,oh-ooh
99,ooh-ooh-ooh-ooh
100,oh-ooh
101,ooh-ooh-ooh-ooh
