,Again I Go Unnoticed_Dashboard Confessional
0,quite
1,another
2,wasted
3,night
4,television
5,steals
6,conversation
7,exhale
8,another
9,wasted
10,breath
11,goes
12,unnoticed
13,please
14,tell
15,me
16,you're
17,feeling
18,tired
19,‘cause
20,i
21,feel
22,i
23,might
24,break
25,touch
26,time
27,please
28,send
29,me
30,anything
31,signals
32,mixed
33,‘cause
34,i
35,can't
36,read
37,your
38,rolling
39,eyes
40,touch
41,time
42,close
43,lipped
44,another
45,good
46,night
47,kiss
48,robbed
49,passion
50,your
51,grip
52,another
53,time
54,slack
55,leaves
56,me
57,feeling
58,empty
59,please
60,tell
61,me
62,you're
63,feeling
64,tired
65,‘cause
66,i
67,feel
68,i
69,might
70,break
71,touch
72,time
73,please
74,send
75,me
76,anything
77,signals
78,mixed
79,‘cause
80,i
81,can't
82,read
83,your
84,rolling
85,eyes
86,touch
87,time
88,i’ll
89,wait
90,tomorrow
91,maybe
92,you'll
93,feel
94,better
95,maybe
96,we'll
97,better
98,what's
99,another
100,day
101,i
102,can't
103,bear
104,nights
105,thoughts
106,going
107,without
108,you
109,mood
110,yours
111,temporary
112,seems
113,worth
114,wait
115,see
116,you
117,smile
118,corner
119,your
120,eye
121,way
122,you'll
123,look
124,me
125,quite
126,another
127,wasted
128,night
129,television
130,steals
131,conversation
132,exhale
133,another
134,wasted
135,breath
136,goes
137,unnoticed
