,Let My Baby Stay_Mac DeMarco
0,i
1,made
2,love
3,her
4,working
5,half
6,my
7,life
8,i’ve
9,addict
10,prechorus
11,she’s
12,good
13,me
14,far
15,i
16,tell
17,she’s
18,happy
19,livin’
20,her
21,macky
22,please
23,don’t
24,take
25,my
26,love
27,away
28,let
29,my
30,baby
31,stay
32,let
33,my
34,baby
35,stay
36,please
37,don’t
38,take
39,my
40,love
41,away
42,let
43,my
44,baby
45,stay
46,let
47,my
48,baby
49,stay
50,would
51,i
52,feeling
53,lonely
54,separated
55,my
56,one
57,prechorus
58,what’s
59,left
60,say
61,far
62,i
63,tell
64,day
65,could
66,way
67,please
68,don’t
69,take
70,my
71,love
72,away
73,let
74,my
75,baby
76,stay
77,let
78,my
79,baby
80,stay
81,please
82,don’t
83,take
84,my
85,love
86,away
87,let
88,my
89,baby
90,stay
91,let
92,my
93,baby
94,stay
95,scat
96,singing
