,Samson_Regina Spektor
0,you
1,my
2,sweetest
3,downfall
4,i
5,loved
6,you
7,first
8,i
9,loved
10,you
11,first
12,beneath
13,sheets
14,paper
15,lies
16,my
17,truth
18,i
19,go
20,i
21,go
22,your
23,hair
24,long
25,first
26,met
27,samson
28,went
29,back
30,bed
31,much
32,hair
33,left
34,his
35,head
36,he
37,ate
38,slice
39,wonder
40,bread
41,went
42,right
43,back
44,bed
45,history
46,books
47,forgot
48,us
49,bible
50,mention
51,us
52,bible
53,mention
54,us
55,even
56,you
57,my
58,sweetest
59,downfall
60,i
61,loved
62,you
63,first
64,i
65,loved
66,you
67,first
68,beneath
69,stars
70,came
71,falling
72,heads
73,they're
74,old
75,light
76,they're
77,old
78,light
79,your
80,hair
81,long
82,first
83,met
84,samson
85,came
86,my
87,bed
88,told
89,me
90,my
91,hair
92,red
93,told
94,me
95,i
96,beautiful
97,came
98,my
99,bed
100,oh
101,i
102,cut
103,his
104,hair
105,myself
106,one
107,night
108,pair
109,dull
110,scissors
111,yellow
112,light
113,he
114,told
115,me
116,i'd
117,done
118,alright
119,kissed
120,me
121,'til
122,morning
123,light
124,morning
125,light
126,he
127,kissed
128,me
129,'til
130,morning
131,light
132,samson
133,went
134,back
135,bed
136,much
137,hair
138,left
139,his
140,head
141,he
142,ate
143,slice
144,wonder
145,bread
146,went
147,right
148,back
149,bed
150,oh
151,bring
152,columns
153,yeah
154,destroy
155,single
156,one
157,history
158,books
159,forgot
160,us
161,bible
162,mention
163,us
164,even
165,you
166,my
167,sweetest
168,downfall
169,i
170,loved
171,you
172,first
