,Love You To_The Beatles
0,george
1,harrison
2,day
3,goes
4,fast
5,i
6,turn
7,around
8,past
9,you
10,get
11,time
12,hang
13,sign
14,me
15,george
16,harrison
17,love
18,me
19,you
20,i'm
21,dead
22,old
23,man
24,george
25,harrison
26,lifetime
27,short
28,new
29,one
30,can't
31,bought
32,you've
33,got
34,means
35,lot
36,me
37,george
38,harrison
39,make
40,love
41,day
42,long
43,make
44,love
45,singing
46,songs
47,make
48,love
49,day
50,long
51,make
52,love
53,singing
54,songs
55,george
56,harrison
57,there's
58,people
59,standing
60,round
61,who'll
62,screw
63,you
64,ground
65,they'll
66,fill
67,you
68,sins
69,you'll
70,see
71,george
72,harrison
73,i'll
74,make
75,love
76,you
77,you
78,want
79,me
