,As Lovers Go_Dashboard Confessional
0,she
1,said
2,i've
3,got
4,honest
5,you're
6,wasting
7,your
8,time
9,you're
10,fishing
11,around
12,i
13,said
14,you
15,must
16,mistaken
17,i'm
18,foolin'
19,feelin'
20,real
21,she
22,said
23,you've
24,gotta
25,crazy
26,you
27,take
28,me
29,kind
30,easy
31,mark
32,you've
33,got
34,wits
35,you've
36,got
37,looks
38,you've
39,got
40,passion
41,i
42,swear
43,you've
44,got
45,me
46,wrong
47,wrong
48,wrong
49,you've
50,got
51,me
52,i'll
53,true
54,i'll
55,useful
56,i'll
57,cavalier
58,i'll
59,yours
60,my
61,dear
62,i'll
63,belong
64,you
65,let
66,me
67,easy
68,lovers
69,go
70,complicate
71,hesitating
72,wonderful
73,loving
74,goes
75,tailormade
76,what's
77,sense
78,waiting
79,i
80,said
81,i've
82,got
83,honest
84,i've
85,waiting
86,you
87,my
88,life
89,long
90,i
91,thought
92,i
93,asylum
94,bound
95,seeing
96,you
97,makes
98,me
99,think
100,twice
101,you
102,makes
103,me
104,sane
105,i
106,fear
107,i'll
108,go
109,crazy
110,you
111,leave
112,my
113,side
114,you've
115,got
116,wits
117,you've
118,got
119,looks
120,you've
121,got
122,passion
123,you
124,brave
125,enough
126,leave
127,me
128,tonight
129,tonight
130,tonight
131,you've
132,got
133,me
134,i'll
135,true
136,i'll
137,useful
138,i'll
139,cavalier
140,i'll
141,yours
142,my
143,dear
144,i'll
145,belong
146,you
147,let
148,me
149,easy
150,lovers
151,go
152,complicate
153,hesitating
154,wonderful
155,loving
156,goes
157,tailormade
158,what's
159,sense
160,waiting
161,easy
162,lovers
163,go
164,complicate
165,hesitating
166,wonderful
167,loving
168,goes
169,tailormade
170,what's
171,sense
172,waiting
173,easy
174,lovers
175,go
176,complicate
177,hesitating
178,wonderful
179,loving
180,goes
181,tailormade
182,what's
183,sense
184,waiting
