,Eskimo_Damien Rice
0,damien
1,rice
2,tiredness
3,fuels
4,empty
5,thoughts
6,find
7,disposed
8,brightness
9,fills
10,empty
11,space
12,search
13,inspiration
14,prechorus
15,damien
16,rice
17,harder
18,higher
19,speed
20,washing
21,top
22,damien
23,rice
24,look
25,eskimo
26,friend
27,look
28,eskimo
29,friend
30,look
31,eskimo
32,friend
33,i'm
34,damien
35,rice
36,rain
37,wets
38,muddy
39,roads
40,find
41,exposed
42,tapping
43,doors
44,irritate
45,search
46,destination
47,prechorus
48,harder
49,higher
50,speed
51,washing
52,top
53,look
54,eskimo
55,friend
56,look
57,eskimo
58,friend
59,look
60,eskimo
61,friend
62,i'm
63,doreen
64,curran
65,kosketa
66,minua
67,halua
68,käsilläsi
69,mua
70,niin
71,että
72,tunnen
73,sinut
74,halua
75,minua
76,halua
77,käsilläsi
78,huuto
79,sielussa
80,saa
81,doreen
82,curran
83,minä
84,kaipaan
85,eskimoystävää
86,minä
87,kaipaan
88,eskimoystävää
89,minä
90,kaipaan
91,eskimoystävääni
92,damien
93,rice
94,i'm
95,i'm
