,Where I Wanna Be_Donell Jones
0,i
1,left
2,my
3,baby
4,girl
5,message
6,sayin'
7,i
8,coming
9,home
10,i'd
11,rather
12,alone
13,she
14,fully
15,understand
16,me
17,cause
18,i'd
19,rather
20,leave
21,cheat
22,she
23,gives
24,me
25,time
26,i
27,man
28,she
29,needs
30,there's
31,lot
32,lust
33,inside
34,me
35,we've
36,together
37,since
38,teenage
39,years
40,i
41,really
42,mean
43,hurt
44,her
45,i
46,need
47,time
48,alone
49,you
50,love
51,someone
52,you
53,treat
54,bad
55,oh
56,i
57,feel
58,sad
59,i
60,wanna
61,leave
62,crying
63,her
64,heart
65,me
66,could
67,you
68,let
69,i
70,need
71,time
72,see
73,i
74,wanna
75,i
76,wanna
77,sweet
78,little
79,deedodeedee
80,i
81,mean
82,hurt
83,you
84,baby
85,oh
86,never
87,i
88,imagine
89,you
90,would
91,play
92,major
93,part
94,decision
95,that's
96,hard
97,i
98,leave
99,i
100,stay
101,i
102,go
103,think
104,my
105,life
106,matters
107,me
108,girl
109,love
110,share
111,real
112,time
113,your
114,heart
115,heal
116,i'm
117,saying
118,i'm
119,gone
120,i
121,find
122,life
123,like
124,without
125,you
126,you
127,love
128,someone
129,you
130,treat
131,bad
132,oh
133,i
134,feel
135,sad
136,i
137,wanna
138,leave
139,crying
140,her
141,heart
142,me
143,could
144,you
145,let
146,i
147,need
148,time
149,see
150,i
151,wanna
152,i
153,wanna
154,sweet
155,little
156,deedodeedee
157,i
158,mean
159,hurt
160,you
161,baby
162,see
163,you
164,love
165,someone
166,you
167,treat
168,bad
169,oh
170,i
171,feel
172,sad
173,i
174,wanna
175,leave
176,crying
177,her
178,heart
179,me
180,could
181,you
182,let
183,i
184,need
185,time
186,see
187,i
188,wanna
189,see
190,you
191,love
192,someone
193,you
194,treat
195,bad
196,oh
197,i
198,feel
199,sad
200,i
201,wanna
202,leave
203,crying
204,her
205,heart
206,me
207,could
208,you
209,let
210,i
211,need
212,time
213,see
214,i
215,wanna
216,see
217,you
218,love
219,someone
220,you
221,treat
222,bad
223,oh
224,i
225,feel
226,sad
227,i
228,wanna
229,leave
230,crying
231,her
232,heart
233,me
234,could
235,you
236,let
237,i
238,need
239,time
240,see
241,i
242,wanna
243,i
244,wanna
245,spoken
246,i'm
247,sorry
248,baby
