,Thinking of You_Katy Perry
0,comparisons
1,easily
2,done
3,taste
4,perfection
5,like
6,apple
7,hanging
8,tree
9,picked
10,ripest
11,one
12,still
13,got
14,seed
15,pre-chorus
16,said
17,move
18,go
19,guess
20,second
21,best
22,know
23,'cause
24,i'm
25,thinking
26,thinking
27,would
28,one
29,spending
30,night
31,oh
32,wish
33,looking
34,eyes
35,like
36,indian
37,summer
38,middle
39,winter
40,like
41,hard
42,candy
43,surprise
44,center
45,get
46,better
47,i've
48,best
49,said
50,there's
51,tons
52,fish
53,water
54,waters
55,test
56,pre-chorus
57,kissed
58,lips
59,taste
60,mouth
61,oh
62,pulled
63,disgusted
64,'cause
65,i'm
66,thinking
67,thinking
68,thinking
69,thinking
70,would
71,one
72,spending
73,night
74,spending
75,night
76,spending
77,night
78,oh
79,wish
80,looking
81,bridge
82,best
83,yes
84,regret
85,could
86,let
87,let
88,go
89,lesson's
90,learned
91,touched
92,burned
93,oh
94,think
95,know
96,'cause
97,i'm
98,thinking
99,thinking
100,would
101,one
102,spending
103,night
104,spending
105,night
106,spending
107,night
108,oh
109,wish
110,looking
111,eyes
112,looking
113,eyes
114,looking
115,eyes
116,oh
117,walk
118,bust
119,door
120,take
121,away
122,oh
123,mistakes
124,'cause
125,eyes
126,i'd
127,like
128,stay
129,stay
