,Best Thing I Never Had_Beyoncé
0,goes
1,around
2,comes
3,back
4,around
5,hey
6,my
7,baby
8,goes
9,around
10,comes
11,back
12,around
13,my
14,my
15,my
16,baby
17,i
18,say
19,goes
20,around
21,comes
22,back
23,around
24,hey
25,my
26,baby
27,goes
28,around
29,comes
30,back
31,around
32,time
33,i
34,thought
35,you
36,everything
37,right
38,lies
39,wrong
40,boy
41,i
42,must've
43,my
44,mind
45,prechorus
46,i
47,think
48,time
49,i
50,almost
51,loved
52,you
53,you
54,showed
55,your
56,ass
57,i
58,i
59,saw
60,real
61,you
62,thank
63,god
64,you
65,blew
66,thank
67,god
68,i
69,dodged
70,bullet
71,i'm
72,you
73,baby
74,good
75,looking
76,i
77,wanted
78,you
79,bad
80,i'm
81,'cause
82,honestly
83,you
84,turned
85,best
86,thing
87,i
88,never
89,you
90,turned
91,best
92,thing
93,i
94,never
95,i'm
96,gon'
97,always
98,best
99,thing
100,you
101,never
102,i
103,bet
104,sucks
105,you
106,right
107,sad
108,you're
109,hurt
110,boo
111,hoo
112,oh
113,you
114,expect
115,me
116,care
117,you
118,deserve
119,my
120,tears
121,i
122,guess
123,that's
124,ain't
125,prechorus
126,i
127,think
128,time
129,i
130,almost
131,loved
132,you
133,you
134,showed
135,your
136,ass
137,baby
138,yes
139,i
140,saw
141,real
142,you
143,thank
144,god
145,you
146,blew
147,thank
148,god
149,i
150,dodged
151,bullet
152,i'm
153,you
154,baby
155,good
156,looking
157,i
158,wanted
159,you
160,bad
161,i'm
162,'cause
163,honestly
164,you
165,turned
166,best
167,thing
168,i
169,never
170,i
171,said
172,you
173,turned
174,best
175,thing
176,i
177,never
178,i'll
179,never
180,best
181,thing
182,you
183,never
184,oh
185,baby
186,i
187,bet
188,sucks
189,you
190,right
191,i
192,know
193,you
194,want
195,me
196,back
197,time
198,face
199,facts
200,i'm
201,one
202,that's
203,got
204,away
205,lord
206,knows
207,would
208,take
209,another
210,place
211,another
212,time
213,another
214,world
215,another
216,life
217,thank
218,god
219,i
220,found
221,good
222,goodbye
223,i
224,used
225,want
226,you
227,bad
228,i'm
229,'cause
230,honestly
231,you
232,turned
233,best
234,thing
235,i
236,never
237,oh
238,you
239,turned
240,best
241,thing
242,i
243,never
244,i
245,always
246,best
247,thing
248,you
249,never
250,ooh
251,best
252,thing
253,you
254,never
255,i
256,used
257,want
258,you
259,bad
260,i'm
261,'cause
262,honestly
263,you
264,turned
265,best
266,thing
267,i
268,never
269,oh
270,you
271,turned
272,best
273,thing
274,i
275,never
276,ooh
277,i
278,never
279,best
280,thing
281,you
282,never
283,oh
284,baby
285,i
286,bet
287,sucks
288,you
289,right
290,goes
291,around
292,comes
293,back
294,around
295,goes
296,around
297,comes
298,back
299,around
300,i
301,bet
302,sucks
303,you
304,right
305,goes
306,around
307,comes
308,back
309,around
310,i
311,bet
312,sucks
313,you
314,right
315,goes
316,around
317,comes
318,back
319,around
320,i
321,bet
322,sucks
323,you
324,right
325,goes
326,around
327,comes
328,back
329,around
330,i
331,bet
332,sucks
333,you
334,right
