,Anytime_Brian McKnight
0,can't
1,remember
2,fell
3,apart
4,something
5,meant
6,yeah
7,forever
8,promise
9,hearts
10,wonder
11,ever
12,cross
13,mind
14,anytime
15,ever
16,wake
17,reaching
18,ever
19,cross
20,mind
21,anytime
22,miss
23,still
24,picture
25,frame
26,hear
27,footsteps
28,hall
29,swear
30,hear
31,voice
32,driving
33,insane
34,wish
35,would
36,call
37,say
38,ever
39,cross
40,mind
41,anytime
42,ever
43,wake
44,reaching
45,ever
46,cross
47,mind
48,anytime
49,miss
50,miss
51,miss
52,loneliness
53,heartache
54,crying
55,sleep
56,want
57,wondering
58,tomorrow
59,come
60,back
61,come
62,back
63,oh
64,ever
65,cross
66,mind
67,anytime
68,ever
69,wake
70,reaching
71,ever
72,cross
73,mind
74,anytime
75,miss
76,outro
77,miss
78,miss
79,miss
80,miss
