,Loft Music_The Weeknd
0,oh
1,ohooh
2,oh
3,woah
4,oh
5,woah
6,oh
7,oh
8,say
9,my
10,brain
11,meltin'
12,thing
13,i'll
14,tell
15,'em
16,i'm
17,livin'
18,present
19,future
20,exist
21,baby
22,take
23,your
24,clothes
25,chance
26,like
27,you
28,may
29,never
30,get
31,show
32,show
33,show
34,you
35,talking
36,unless
37,you
38,like
39,tease
40,baby
41,reality
42,you
43,know
44,please
45,baby
46,blueball
47,queen
48,take
49,your
50,fuckin'
51,seat
52,baby
53,ride
54,i
55,know
56,you
57,wanna
58,scream
59,baby
60,better
61,your
62,next
63,man
64,he
65,swingin'
66,i
67,get
68,dumber
69,next
70,man
71,'cause
72,i
73,play
74,unless
75,keys
76,i
77,play
78,day
79,day
80,you
81,like
82,keys
83,gon'
84,play
85,day
86,day
87,wet
88,dream
89,fry
90,your
91,brain
92,day
93,day
94,i
95,think
96,you
97,lost
98,your
99,morals
100,girl
101,okay
102,'cause
103,you
104,need
105,'em
106,we're
107,goin'
108,twofloor
109,loft
110,middle
111,city
112,rollin'
113,city
114,me
115,i
116,promise
117,you
118,gon'
119,see
120,i'm
121,fuckin'
122,girl
123,amnesia
124,put
125,your
126,mind
127,dream
128,world
129,you
130,doin'
131,bathroom
132,woah
133,i
134,hear
135,noises
136,bathroom
137,woah
138,baby
139,okay
140,living
141,room
142,twisting
143,turns
144,'em
145,girls
146,fuck
147,seem
148,different
149,pills
150,'em
151,tell
152,us
153,love
154,us
155,even
156,though
157,want
158,next
159,man
160,next
161,man's
162,bitch
163,want
164,third
165,man
166,eddie
167,murphy
168,shit
169,yeah
170,trade
171,places
172,rehearse
173,lines
174,fuck
175,faces
176,yeah
177,know
178,get
179,buzz
180,mix
181,hash
182,come
183,fuck
184,us
185,i'm
186,raw
187,mothafucka
188,i'm
189,raw
190,my
191,love
192,lost
193,my
194,niggas
195,man
196,bitches
197,can't
198,touch
199,got
200,wanted
201,i'll
202,plug
203,nigga
204,step
205,man
206,i
207,got
208,'em
209,yeah
210,i
211,got
212,'em
213,'til
214,ending
215,credits
216,life's
217,movie
218,filmed
219,independent
220,us
221,against
222,city
223,please
224,get
225,offended
226,answer
227,your
228,calls
229,you
230,got
231,problem
232,come
233,find
234,us
235,talk
236,what's
237,good
238,young
239,ho
240,you
241,got
242,loft
243,right
244,you
245,excited
246,you
247,excited
248,ooh
249,ooh
250,ah
251,ah
252,oohahh
253,you
254,thinkin'
255,you
256,thinkin'
257,yeah
258,you
259,thinkin'
260,ooh
261,you
262,thinkin'
263,you
264,thinkin'
265,you
266,thinkin'
267,you
268,thinkin'
269,i
270,thinkin'
271,'bout
272,ooh
273,i
274,know
275,everything
276,ooh
277,i
278,know
279,everything
280,i
281,know
282,i
283,know
284,ahh
285,ahh
286,ahh
287,ooh
288,oohahh
289,ahh
290,ahh
291,ooh
292,oh
293,ahh
294,ahhooh
295,ooh
